sentence,Translations
"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.","ciò che sopra tutti gli altri ha perdonato i cittadini e che voi potete certamente credere, e che egli è stato il vostro capo."
"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","Invano ci si chiede chi scrisse questo Libro, che è ciò che si deve credere fedelmente che l'Autore di questo era lo Spirito Santo."
"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","Se non fosse usato molto, questo sembrerebbe certamente molto più incredibile: certamente più facilmente si può credere che, dal momento che lo spirito umano al divino, e il cambiamento per l'incommutabile"
che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,che ha preso la paga dai Camarlingo per la loro dispensa e immanente è andato alla presenza di Messer il Papa per contraddire il passaggio dei cavalieri che sono venuti a Cecilia in Toscana
"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","Teseo guardò Achelaus, e si meravigliò, dicendo: ""O Messer Achelaus, ti prego, che tu mi dica come hai perso."
"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono","Spero che Messer Gesu' vi mandera' Timoteo, perche' io sia di buon cuore."
sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,Senza infastidire il maiale salvatore avanza l'uomo a sentire e' il lupo cervo di vedere
uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,un luogo è stato mandato a gettarsi; e i cavalieri lo chiamano testa di maiale.
tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,Egli tende le reti al cervo e sa bene in quale valle abita il maiale selvatico furioso.
"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.","Ora li spaventerai con paure diverse e diverse, o con il maiale che canta merda nel passato."
"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.","Si occupa della natura delle cose incorporate che non convergono nel corpo, così come di Dio e delle cose divine."
"Dio, per la quale si dispensano et iudicano tutte le cose.","Dio, per il quale tutte le cose sono dispensate e iudicate."
"Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato","I poeti non morti, parlando di loro, dicono loro il virtuoso, e parlano in modo favoloso delle loro colpe, quando nessuno passò l'ordine al loro vice."
"e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.","E quella cosa, che è directa et onesta, e virtuosamente, quella che penso sia buona."
"Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive","E avvenne, quando i serpenti allestirono i Romani di giorno, che si meravigliarono di come i Psille combattessero contro il veleno, che li derubassero delle loro salive."
"Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro","Dice il poeta: Oh, che cosa bella è vedere apertamente con i tuoi occhi quando li fai guardare o nel culo o in altri"
"ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.","Ma e' stata colpa tua, ma volevi vedere la cosa invisibile con i tuoi occhi corporei."
"Vero è, ma non tine rispondo in questo tempo, perciò che ttu se' mio servo, o perciò ch' è tempo feriato, o perciò ch' io non debbo risponderti","È vero, ma non rispondo in questo momento, quindi che è mio servo, o quindi che è ferito, o che non dovrei rispondere a te."
sì convene che lli desse grande avere perché · lasciasse andare via.,"in modo che egli dovrebbe dare loro grande di dover ""lasciare andare."""
"notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta","Il servo, che lo aveva accusato, è stato liberato, e gli è stato dato una grande quantità di denaro, un esempio notevole a tutti coloro che si guardavano a fare e a pensare il tradimento."
che sarebbe a llui cosa sconcia se ll'avesse commesso sì che lla colpa del servo e 'l gastigamento di Platone avesse meritato egualmente.,che sarebbe per lui una cosa sporca se l'avesse commessa in modo che anche la colpa del servo e 'il gastigamento di Platone aveva meritato.
"mostroe massimamente le forze sue, dando lui re a questa cittade ne la quale nacque servo; al quale avvenne lunghissimamente lo imperio tenere","In verità egli mostrò la sua forza e gli diede il re a questa cittadella nella quale nacque servo, alla quale l'impero tenne molto a lungo."
l' anima muta la sua forza per la propietade di quello corpo a cui ella si congiunge.,l'anima cambia la sua forza per la propietade di quel corpo a cui si unisce.
"sono due già non in una carne, ma in uno spirito, cioè Iddio, e l' anima. Onde in altro luogo dice S. Paolo: Chi s' accosta a Dio è uno spirito","Sono già due, non in una carne, ma in uno spirito, cioè Dio e l'anima. Perciò un altro luogo dice San Paolo: Chi si avvicina a Dio è uno spirito"
"per tanto che Lucano il disse, il vi racontiamo. Ivi, quando l'anima di Pompeo ebe sentito la chiarità di lasusso, ella sì cognobe prima in  grande","Là, quando l'anima di Pompeo sentì la chiarezza della sua parola, divenne così grande per prima."
"Sicchè dolore è a udire, quando l' usare l' arme e la fatica ricusano, con grandissimo disonore come pecore essere","Così che il dolore è quello di sentire, quando l'uso delle armi e del lavoro ricusare, con grande disonore come pecore di essere"
et nonn ebbe in fastido Cristo cotali parole d'udire.,e la nonna aveva in Cristo fastidioso tali parole da ascoltare.
"la moltitudine de' quali tu ài potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e lle cui mani e lance apena posso ritenere.","la moltitudine di cui si poteva vedere e guardare lo studio e poco prima di sentire le voci, e le cui mani e lance riesco a malapena a tenere."
"udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene","udito di bellissimi romanzi e odore di bellissimi fiori, come e quando e quanto si adatta"
"Il re entrò in uno giardino dietro al suo albergo, quasi come s'egli andasse pensando alla risposta.","Il re entrò in un giardino dietro il suo hotel, quasi come se stesse pensando alla risposta."
"Ma io disioso colà dove io non posso col corpo andare, con la mente vi volo","Ma esigo dove non posso con il corpo andare, con la mente ti volo"
Ed ecco di subito tutta questa turba degli uccelli si levò a volo dietro all'aquila,"Ed ecco, subito tutta questa folla di uccelli si alzò volando dopo l'aquila."
Vede anche le ragioni del volo degli uccielli e di tutte le cose sa rendere vero giudicio.,Egli vede anche le ragioni per il volo dei cuccioli e di tutte le cose può fare vero giudizio.
Or ecco quanto per la sua superbia questo uccello volava in alto.,Questo è quanto questo uccello volò alto.
"Gorgone, e ho questa proprietà che io volo per l'aire sì come uno ucello"".","Gorgone, e ho questa proprietà che volo in aria sì come un uccello."""
"quando nella matricola si scrivono giurano per Dio, e per Cristo, e per lo Spirito Santo","quando giurano per Dio, per Cristo e per lo Spirito Santo,"
"per necessitade i' ridico ke, secondo il comandamento tuo, padre santo Agostino, le battaglie già state nel mondo [..]","secondo il tuo comandamento, santo padre Agostino, le battaglie che sono già state nel mondo [..]"
"molto di maggiore memoria saranno faccendole al re, perciò che nella nostra cittade sempre fue santo e glorioso il nome reale, e sse furono compagni fue il loro nome santissimo;","Sarà fatto molto più ricordo al re, in modo che nella nostra cittadella il nome reale era sempre santo e glorioso, e che erano compagni era il loro nome santissimo;"
"Non voglio, che insuperbischi per lo santo proposito, e voto della verginità vedendo le sue laudi","Non voglio, che io esaltare per il santo proposito, e voto di verginità, vedendo le sue lodi."
"Santo Agostino fece u· libro ch'avea nome ""Agostino Della Città di Dio"".","Sant'Agostino fece un libro chiamato ""Agostino della Città di Dio."""
Gregorio. Non udii mai che egli avesse maestro; ma il dono dello Spirito Santo non si può stringere a legge.,Gregorio. Non ho mai sentito che aveva un maestro; ma il dono dello Spirito Santo non può essere stretto dalla legge.
Verbigrazia: Mercatanti fiorentini passavano in nave per andare oltramare.,Verbigrazia: i mercanti fiorentini andavano via nave per esagerare.
"Quando averai nel cavaliere i detti segni veduti non andare a grandezza caendo, perchè nelle battaglie sono più utili i forti che i grandi.","Quando avete nel cavaliere i detti segni visto non andare alla grandezza caendo, perché nelle battaglie i forti sono più utili di quelli grandi."
"e, cosa che anche è più grave, cioè essere preso, o vero fuggire, e suo Comune lasciare vincere.","e, che è anche più grave, vale a dire da prendere, o vera a fuggire, e la sua Comune a lasciarsi vincere."
"Sappiate veramente, che se noi non ci fossimo sì affrettati del fuggire, noi saremmo tutti morti.","Sappiate davvero che se non fossimo fuggiti di corsa, saremmo tutti morti."
"Tarco cretense che in aiuto era alli nimici avrebbe potuto fuggire, ma la vergogna d'abbandonare li nobilissimi cavalieri della gente achea poco avanti da lui",Ma la vergogna di abbandonare i nobili cavalieri del popolo acheo proprio davanti a lui
"e l' acconciamento a fare grandissime cose, cioè a ttenere pace et amare Idio e 'l proximo, a ffare cittadi, castella e magioni","e l'acconciatura per fare grandi cose, cioè per ottenere pace e amore Idio e' il prossimo, per trattare cittadine, castello e palazzi"
colui che ancora non sa amare il prossimo come sé medesimo già cominci a temere i giudicii di Dio.,Chi non sa ancora amare il prossimo come se stesso comincia già a temere i giudici di Dio.
"L'ucello, poi che hae impaniate le ali, non fugge salvamente, né llo porco salvatico esce bene delle reti ove cade.","L'uccello, poi avendo le sue ali in preda al panico, non fugge in sicurezza, né il maiale salato esce bene dalle reti dove cade."
"Io gli apersi, e quelli fuggitte. E che bisogno è, che lo cuore tuo stia chiuso al tuo sposo Cristo?","L'ho aperta e quelli sono fuggiti, e che bisogno c'e' che il tuo cuore sia chiuso al tuo sposo Cristo?"
"E dunque, da che queste cose son così, Catellina, e tu non puoi buonamente qui dimorare, dubiti tu d'andartene in alcuna terra ed usare questa vita fuggendo per li diserti","E quindi, poiché queste cose sono così, Catellina, e tu non puoi abitare bene qui, dubiti di andare in qualsiasi terra, e di usare questa vita, fuggendo verso i deserti."
"Questi due, volendo contra la voglia del senato dimorare ne l'ufficio del tribunato, furono morti da la plebe, incitandola i padri coscritti.","Questi due, volendo contro la volontà del senato di dimorare nell'ufficio del tribuno, sono stati uccisi dalla plebe, istigando i padri arruolati."
"i giovani, a cui il difendimento delle provincie, e la ventura di tutta la battaglia si commette","giovani, a cui la difesa delle province, e l'avventura di tutta la battaglia è impegnata"
"da' monti de' Romani si feciero nuovi nemici; contra i quali è conbactuto cum diversa ventura: perké nela primaia battaglia, essendo consolo Valerio, MMMD ne moriro de' Romani;","Dalle montagne dei Romani sono stati fatti nuovi nemici; contro cui è conbactuto cum diversa avventura: perké nella prima battaglia, essendo console Valerio, MMMD sono morti dei Romani;"
"noi iscaciati e dipartiti per debito dela cittade, e tutti iscaciati da fama e da ventura buona.","Siamo ascesi e partiti per il debito della cittadella, e tutti noi siamo ascesi per fama e buona fortuna."
pregaste gli dei per me; e' vostri preghieri valsono: e se voi domandate chi ebbe ventura di questa battaglia; io non fui vinto da colui.,"Tu hai pregato gli dei per me; sono le tue preghiere; e se chiedi chi è venuto da questa battaglia, io non sono stato vinto da lui."
"una villa chiamata Vitermina, con ciò fosse cosa che piusori principi di scherani corressero per ventura a quel tempo a vederlo, Scipione, stimando che venissero per isforzarlo, allogò ne la casa","una villa chiamata Vitermine, con la quale era che i principi degli schernitori correvano per avventura in quel momento per vederlo, Scipione, stimando che sono venuti a rafforzarlo, alloggiato in casa"
contra lui e contra le sue sorelle  e contra il reame e contra l' alto pregio della sua ingenerazione e della sua familia,contro di lui e contro le sue sorelle e contro il regno e contro l'alto valore della sua generazione e della sua famiglia
"Allora che il navilio si fue impinto e messo in alto mare per andare diritto per mezo questo trapasso periglioso, l'aira divenne nuvolosa e pioveginosa","E avvenne che la nave fu ripiena, e messa in alto mare, per passare dritta in mezzo a questo pericoloso passaggio, che l'ira divenne nuvolosa e piovosa."
"ne salìo in su l'argine del fosso, e in su lo steccato, se da alto si potessero difendere, o per alcuna maniera passare oltre e scampare.","Si arrampicò sull'argine del fosso, e su per la recinzione, se potevano difendersi dall'alto, o in qualsiasi modo passare oltre e fuggire."
"Ma l' occhio della intelligenza è più alto. Perciò che, passata la grandezza della universitade, quella medesima semplice forma vede nella sottil vista","Ma l'occhio dell'intelligenza è più alto. Perciò, dopo la grandezza dell'università, quella forma molto semplice vede nella vista sottostante"
"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","E se l'occhio è un nobile membro del corpo dell'uomo, allora il saluto è una parte nobile della pistola, c'è anche alluminio tutta la lettera come l'uomo occhio di alluminio."
"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.","Tarentini, che nacquero da quelli di Lacedemonia et fata dalla loro nobile cittadella dei Greci."
"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.","Ulecois, ebe un uomo reco e nobile: Orgent è stato chiamato per nome."
"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","ma che, sia nobile cosa o alto è combattuto il nemico, ampoi grandn è meno lodevole di sapere avere misericordia"
"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","Alexandri, questo è il genero e' il genero, da Phausonia, giovane donna gentile di Macedonia, in piedi in un luogo stretto senza guardia, era morto."
"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","Alchuno è ricco e gentile, ma si lamenta che vorrebbe avere un'altra moglie rispetto a quella che è."
"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","Pietro, essendo mostrato nella sua figura il popolo Gentile, è stato detto: uccidere e mangiare"
"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","L'ho pregato di liberarlo da quell'obbligo, in cui lo aveva lasciato legato. L'uomo gentile si è astenuto, lo ha liberato e ne ha fatto la carta."
"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","L'oro uscirà dall'aquilone, che noi immaginiamo per l'aquilone, eccetto il popoloso Gentile congelato dal freddo del peccato, che la gente teneva sotto il giogo della sua tirannia."
"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.","Sii in mezzo a me e a te; con noi non puoi più dimorare, perché non l'ho addolorato e non lo lascerò."
