Author,Date,Region,Sentence,Translation,
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, uno dei dieci compagni, si mise da parte e parlò per ultimo con attenzione.",
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,Cose che sapevo fossero già successe in Italia.,
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"Corbio, il nipote di Ortensio, conduceva una vita molto più povera e viziosa.",
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","Anche un innamorato, chiedendo pietà alla sua donna, parla tanto per convincerla, e lei risponde cercando di difendersi con le sue parole.",
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Preso dalla rabbia, arrivai a strappare i capelli di mia moglie. Quella rabbia mi tormentò per giorni interi.",
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,Quello di cui ti lamentavi era innamorato della tua donna.,
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Non sapevano ancora chi fossero i congiurati, perché la donna non aveva fatto nessun nome",
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","Sul serio? Quando lui se ne andò, disse: ‘Mia cara, ti affido il nostro ospite troiano mentre io non ci sono.’",
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","A Milano, mentre governava quel signore della repubblica, fu smascherata una donna che aveva detto una bugia simile.",
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","Criticavano l’ingiustizia di Appio, soffrivano la sorte orribile della giovane ragazza e la tragica scelta del padre.",
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","Durante la battaglia, ho proposto sempre la pace e mi è dispiaciuto che oltre a essere ignorata, venne anche disprezzata.",
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","La seconda volta, se sei troppo prudente finisci con l’avere paura. La prima volta avere troppo coraggio può farti diventare incosciente",
Valerio Massimo (red. V1,1336,fior.,Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,"Andò verso il campo dei Cartaginesi, portando con sé tutta la legione.",
Zanobi da Strada,1361,tosc.,"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.","Non voleva vederlo come un nemico. Fu quella stessa forza che diede a Natan, il profeta, il coraggio di affrontare con fermezza il re colpevole",
Frontino volg.,1381,bologn.,"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","Nella biblioteca polverosa, i manoscritti antichi raccontavano storie dimenticate.",
Giovanni da San Miniato,1415,tosc.,Unde ragionevolemente Iob è interpretato dolente;,"Perciò, è sensato che il nome Giobbe venga inteso come ‘sofferente
",
Filippo da Santa Croce,1323,tosc.,"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.","Più di tutti, è stato lui a mostrare clemenza verso i cittadini. Potete fidarvi di lui, dato che un tempo fu al vostro comando.",
Zanobi da Strada,1361,tosc.,"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.",Non ha senso domandarsi chi abbia scritto questo libro perché bisogna credere che sia stato ispirato dallo spirito santo,
Agostino da Scarperia (?),1390,tosc.,"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","Se non fossimo abituati, sembrerebbe davvero incredibile. In fondo, è più facile crederci se pensiamo a quanto l’essere umano sia diverso da Dio, e quanto tutto ciò che cambia sia lontano da ciò che resta sempre uguale.",
Brunetto Latini,1260-61,fior.,che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,Che si facessero dare i soldi dal camerlengo per conto proprio e andassero subito dal papa a protestare contro il passaggio dei cavalieri che stavano arrivando dalla Sicilia in Toscana.,
Bonsignori,1375-77,umbr.-tosc.,"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","Teseo fissò sorpreso Achelao e disse: ‘Achelao, ti prego, raccontami com'è che hai perso.’",
Giovanni da San Miniato,1415,tosc.,"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono","Spero che Gesù mi aiuti a mandarvi presto Timoteo, così sarò più tranquillo",
Brunetto Latini,1260-61,fior.,sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,Sicuramente il cinghiale ci sente meglio di un uomo e il lupo ci vede meglio.,
Bono Giamboni,1292,fior.,uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,In un luogo si scagliano lancioni; questa cosa i cavalieri la chiamano 'capo di porco'.,
Arte Am. Ovid. (B),1310/13,fior.,tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,"tenda le reti ai cervi, e sa bene in quali valli si nasconde il furioso cinghiale.",
Rim. Am. Ovid. (B),1310/13,fior.,"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.","adesso spaventerai i desiderosi cervi con vari e diversi timori, oppure il cinghiale cadrà a terra trafitto dallo spiedo.",spiedo ?
Brunetto Latini,1260-61,fior.,"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.","tratta della natura delle cose immateriali, che non interagiscono con i corpi, come Dio e le cose divine.",
Bono Giamboni,1292,fior.,"Dio, per la quale si dispensano et iudicano tutte le cose.","Dio, attraverso il quale tutte le cose vengono distribuite e giudicate.",
Bonsignori,1375-77,umbr.-tosc.,"Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato","Così i poeti, parlando di sé, descrivono le proprie virtù e raccontano in modo fantastico i propri difetti, quando qualcuno eccede l'ordine a loro assegnato.",
Giovanni dalle Celle (?),1396,tosc.,"e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.","e quella cosa che è giusta e onesta, e che possiede virtù, solo quella penso sia il bene.",
Fatti de' Romani (H+R),1313,fior.,"Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive","Quando i serpenti avvelenavano qualcuno dei Romani durante il giorno, era una meraviglia vedere come i Psille combattevano contro il veleno, poiché essi immolavano tutto ciò che avevano nella loro saliva.","Immolare - biblico, arcaico?"
Chiose a Rim. Am. (B),1310-,fior.,"Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro","Dice il poeta: oh, che bella cosa è vedere chiaramente con gli occhi quando glie lo fai passare dietro, o nel culo, o in altri posti.",
Cavalca,1330,tosc.,"ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.","ma questa fu colpa tua, perché volevi cercare di vedere con gli occhi la cosa invisibile.",
Brunetto Latini,1260-61,fior.,"Vero è, ma non tine rispondo in questo tempo, perciò che ttu se' mio servo, o perciò ch' è tempo feriato, o perciò ch' io non debbo risponderti","è vero, ma non ti rispondo ora, perché sei mio servo, oppure perché è tempo di festa, o perché non devo risponderti.",
Fatti de' Romani (H+R),1313,fior.,sì convene che lli desse grande avere perché · lasciasse andare via.,"si decise di dare loro una grande somma, affinché li lasciassero andare.",
Filippo da Santa Croce,1323,tosc.,"notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta",un esempio significativo per chiunque volesse o pensasse di tradire; il servo che lo aveva accusato fu liberato e gli fu data una grande quantità di denaro.,
Valerio Massimo (red. Va),1336,tosc.,che sarebbe a llui cosa sconcia se ll'avesse commesso sì che lla colpa del servo e 'l gastigamento di Platone avesse meritato egualmente.,sarebbe per lui una cosa vergognosa se avesse commesso un'azione tale che la colpa del servo e la punizione di Platone fossero equivalenti.,
Valerio Massimo (red. V1,1336,fior.,"mostroe massimamente le forze sue, dando lui re a questa cittade ne la quale nacque servo; al quale avvenne lunghissimamente lo imperio tenere","mostrò in modo massimo le sue forze, dandogli il ruolo di re in questa città dove era nato come servo; lui tenne il potere per molto tempo.",
Brunetto Latini,1260-61,fior.,l' anima muta la sua forza per la propietade di quello corpo a cui ella si congiunge.,l'anima cambia la sua forza in base alla proprietà del corpo con cui si unisce.,
Cavalca,1308,tosc.,"sono due già non in una carne, ma in uno spirito, cioè Iddio, e l' anima. Onde in altro luogo dice S. Paolo: Chi s' accosta a Dio è uno spirito","eEssi non sono più in un corpo, ma in uno spirito, cioè in Dio e nell'anima. Come dice San Paolo in un altro passo: Chi si avvicina a Dio è uno spirito.",
Fatti de' Romani (H+R),1313,fior.,"per tanto che Lucano il disse, il vi racontiamo. Ivi, quando l'anima di Pompeo ebe sentito la chiarità di lasusso, ella sì cognobe prima in  grande","poiché Lucano lo raccontò, ve lo narriamo anche noi. Là, quando l’anima di Pompeo percepì la luce dall’alto, allora riconobbe sé stessa profondamente.",
Bono Giamboni,1292,fior.,"Sicchè dolore è a udire, quando l' usare l' arme e la fatica ricusano, con grandissimo disonore come pecore essere","È doloroso sentire, quando si rifiutano di usare le armi e di affrontare la fatica, con grande disonore, come se fossero pecore.",
Bono Giamboni,1292,fior.,et nonn ebbe in fastido Cristo cotali parole d'udire.,e Cristo non provò fastidio ad ascoltare tali parole.,
Prima catilinaria volg. (red. A),1294,fior.,"la moltitudine de' quali tu ài potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e lle cui mani e lance apena posso ritenere.","hai potuto vedere e osservare l’impegno di quella moltitudine, e poco prima udirne le voci, e le cui mani e lance riesco a stento a trattenere.",
T. Alderotti (?),1295,fior.,"udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene","ascoltare belle storie e sentire il profumo di bei fiori, nei tempi, quando e per quanto appropriate.",
Filippo da Santa Croce,1323,tosc.,"Il re entrò in uno giardino dietro al suo albergo, quasi come s'egli andasse pensando alla risposta.","Il re entrò in un giardino dietro il suo alloggio, come se stesse riflettendo sulla risposta.",
Ceffi,1325,fior.,"Ma io disioso colà dove io non posso col corpo andare, con la mente vi volo","Ma io, desideroso di andare là dove il corpo non può arrivare, ci volo con la mente.",
Guido da Pisa,1337,tosc.,Ed ecco di subito tutta questa turba degli uccelli si levò a volo dietro all'aquila,"Ed ecco che, all’improvviso, tutta quella schiera di uccelli si alzò in volo seguendo l’aquila.",
Grazia di Meo,1343,tosc.,Vede anche le ragioni del volo degli uccielli e di tutte le cose sa rendere vero giudicio.,Comprende anche le cause del volo degli uccelli e sa esprimere un giudizio veritiero su ogni cosa.,
Zanobi da Strada,1361,tosc.,Or ecco quanto per la sua superbia questo uccello volava in alto.,"Ecco dunque quanto questo uccello, per la sua superbia, volava in alto.",
Bonsignori,1375-77,umbr.-tosc.,"Gorgone, e ho questa proprietà che io volo per l'aire sì come uno ucello"".","Gorgone, e possiedo questa capacità: volo nell’aria come un uccello.",
Bono Giamboni,1292,fior.,"quando nella matricola si scrivono giurano per Dio, e per Cristo, e per lo Spirito Santo","quando si scrivono nel registro, giurano per Dio, per Cristo e per lo Spirito Santo.",
Bono Giamboni,1292,fior.,"per necessitade i' ridico ke, secondo il comandamento tuo, padre santo Agostino, le battaglie già state nel mondo [..]","per necessità ripeto che, secondo il tuo comandamento, padre santo Agostino, le battaglie sono già avvenute nel mondo.",
Brunetto Latini,1294,fior.,"molto di maggiore memoria saranno faccendole al re, perciò che nella nostra cittade sempre fue santo e glorioso il nome reale, e sse furono compagni fue il loro nome santissimo;","saranno ricordate con molta più importanza se fatte per il re, poiché nella nostra città il nome reale è sempre stato considerato sacro e glorioso, e anche il nome dei suoi compagni è stato ritenuto santissimo.",
Cavalca,1308,tosc.,"Non voglio, che insuperbischi per lo santo proposito, e voto della verginità vedendo le sue laudi","Non voglio che tu diventi superbo per il tuo santo proposito e voto di verginità, ascoltando le lodi che ti vengono rivolte.",
Fatti de' Romani (H+R),1313,fior.,"Santo Agostino fece u· libro ch'avea nome ""Agostino Della Città di Dio"".","Sant’Agostino scrisse un libro che si intitolava La Città di Dio,",
Cavalca,1330,tosc.,Gregorio. Non udii mai che egli avesse maestro; ma il dono dello Spirito Santo non si può stringere a legge.,Di Gregorio non ho mai sentito dire che avesse avuto un maestro; ma il dono dello Spirito Santo non può essere limitato da regole.,
Brunetto Latini,1260-61,fior.,Verbigrazia: Mercatanti fiorentini passavano in nave per andare oltramare.,"Ad esempio, i mercanti fiorentini si imbarcavano per raggiungere territori oltre il mare.",
Bono Giamboni,1292,fior.,"Quando averai nel cavaliere i detti segni veduti non andare a grandezza caendo, perchè nelle battaglie sono più utili i forti che i grandi.","Quando riconoscerai quei segni in un cavaliere, non badare alla sua grandezza fisica, perché in battaglia contano più il coraggio e la forza d’animo che la corporatura.",
Bono Giamboni,1292,fior.,"e, cosa che anche è più grave, cioè essere preso, o vero fuggire, e suo Comune lasciare vincere.","E, cosa ancora più grave, cioè essere catturato, oppure fuggire, lasciando che il proprio Comune venga sconfitto.",
Filippo da Santa Croce,1323,tosc.,"Sappiate veramente, che se noi non ci fossimo sì affrettati del fuggire, noi saremmo tutti morti.","Siate certi che, se non avessimo fatto in fretta a fuggire, saremmo tutti morti.",
Deca quarta,1346,fior.,"Tarco cretense che in aiuto era alli nimici avrebbe potuto fuggire, ma la vergogna d'abbandonare li nobilissimi cavalieri della gente achea poco avanti da lui","Tarco, cretese che si era schierato in aiuto dei nemici, avrebbe potuto fuggire, ma si vergognò di abbandonare i nobilissimi cavalieri dell’esercito acheo che si trovavano poco più avanti di lui.",
Brunetto Latini,1260-61,fior.,"e l' acconciamento a fare grandissime cose, cioè a ttenere pace et amare Idio e 'l proximo, a ffare cittadi, castella e magioni","E l’inclinazione a realizzare grandi opere, come mantenere la pace, amare Dio e il prossimo, e costruire città, fortezze e abitazioni.",
Giovanni da San Miniato,1415,tosc.,colui che ancora non sa amare il prossimo come sé medesimo già cominci a temere i giudicii di Dio.,"Chi non ha ancora imparato ad amare il prossimo come sé stesso, dovrebbe almeno cominciare ad avere timore del giudizio divino.",
Arte Am. Ovid. (B),1310/13,fior.,"L'ucello, poi che hae impaniate le ali, non fugge salvamente, né llo porco salvatico esce bene delle reti ove cade.","Quando l’uccello ha le ali impigliate, non può più volare via in salvo, così come il cinghiale selvatico non riesce a liberarsi facilmente dalle reti in cui è rimasto intrappolato.",
Cavalca,1308,tosc.,"Io gli apersi, e quelli fuggitte. E che bisogno è, che lo cuore tuo stia chiuso al tuo sposo Cristo?","Io li aprii, e quelli fuggirono. E perché mai il tuo cuore dovrebbe restare chiuso al tuo sposo, Cristo?",
Prima catilinaria volg. (red. A),1294,fior.,"E dunque, da che queste cose son così, Catellina, e tu non puoi buonamente qui dimorare, dubiti tu d'andartene in alcuna terra ed usare questa vita fuggendo per li diserti","Allora, dato che le cose stanno così, Catilina, e che non puoi più restare qui senza disonore, perché esiti ad andartene in qualche paese lontano e a continuare questa tua vita errante nei deserti?",
Chiose a Valerio Massimo (D - L. I-V),1346,tosc.,"Questi due, volendo contra la voglia del senato dimorare ne l'ufficio del tribunato, furono morti da la plebe, incitandola i padri coscritti.","Questi due uomini, che volevano restare nell’ufficio di tribuni nonostante l’opposizione del senato, furono messi a morte dalla plebe, istigata dai senatori.",
Bono Giamboni,1292,fior.,"i giovani, a cui il difendimento delle provincie, e la ventura di tutta la battaglia si commette","I giovani, ai quali è affidata la difesa delle province e la sorte dell'intera battaglia.",
Bono Giamboni,1292,fior.,"da' monti de' Romani si feciero nuovi nemici; contra i quali è conbactuto cum diversa ventura: perké nela primaia battaglia, essendo consolo Valerio, MMMD ne moriro de' Romani;","Dai monti dei Romani sorsero nuovi nemici, contro i quali si combatté con esiti alterni: infatti, nella prima battaglia, quando Valerio era console, morirono tremilacinquecento Romani.",
Fatti de' Romani (H+R),1313,fior.,"noi iscaciati e dipartiti per debito dela cittade, e tutti iscaciati da fama e da ventura buona.","Siamo stati esiliati e costretti a partire per dovere verso la città, perdendo anche la nostra reputazione e ogni favore della sorte.",
Simintendi,1333,tosc.,pregaste gli dei per me; e' vostri preghieri valsono: e se voi domandate chi ebbe ventura di questa battaglia; io non fui vinto da colui.,"Avete pregato gli dèi per me, e le vostre preghiere hanno avuto effetto. E se vi domandate chi sia stato il vincitore di questa battaglia, vi dico che non sono stato sconfitto da lui.",
Valerio Massimo (red. V1,1336,fior.,"una villa chiamata Vitermina, con ciò fosse cosa che piusori principi di scherani corressero per ventura a quel tempo a vederlo, Scipione, stimando che venissero per isforzarlo, allogò ne la casa","In una villa chiamata Vitermina, dove per caso diversi capi di briganti si erano radunati per vederlo, Scipione, pensando che fossero lì per assalirlo, si rinchiuse nella casa.",
Brunetto Latini,1260-61,fior.,contra lui e contra le sue sorelle  e contra il reame e contra l' alto pregio della sua ingenerazione e della sua familia,"Contro di lui, le sue sorelle, il suo regno e il prestigio della sua nobile discendenza e famiglia.",
Fatti de' Romani (H+R),1313,fior.,"Allora che il navilio si fue impinto e messo in alto mare per andare diritto per mezo questo trapasso periglioso, l'aira divenne nuvolosa e pioveginosa","Nel momento in cui la nave si spinse al largo per attraversare quel tratto di mare pericoloso, il cielo si coprì di nuvole e cominciò a cadere una leggera pioggia.",
Filippo da Santa Croce,1323,tosc.,"ne salìo in su l'argine del fosso, e in su lo steccato, se da alto si potessero difendere, o per alcuna maniera passare oltre e scampare.","Salirono sull’argine del fossato e sulla palizzata, sperando di potersi difendere meglio dall’alto o di trovare un modo per oltrepassare e mettersi in salvo.",
Alberto della Piagentina,1330/32,fior.,"Ma l' occhio della intelligenza è più alto. Perciò che, passata la grandezza della universitade, quella medesima semplice forma vede nella sottil vista","Tuttavia, la mente vede più in alto, perché, una volta superata la visione dell’intero universo, essa contempla con acume quella stessa forma essenziale nella sua purezza.",
Brunetto Latini,1260-61,fior.,"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","E se l’occhio è una parte nobile del corpo umano, allora anche il saluto è una parte nobile dell’epistola, poiché illumina l’intera lettera così come l’occhio illumina l’uomo.",
Bono Giamboni,1292,fior.,"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.","I Tarantini, discendenti dei Lacedemoni, e fondatori di una nobile città della Grecia.",
Fatti de' Romani (H+R),1313,fior.,"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.","Presso gli Ulecoi viveva un uomo ricco e di nobile stirpe, chiamato Orgentore.",
Valerio Massimo (red. Va),1336,tosc.,"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","Infatti, se è un atto nobile e glorioso abbattere il nemico, è altrettanto lodevole saper avere misericordia una volta vinto.",
Bono Giamboni,1292,fior.,"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","Alessandro, cioè il genero e figlio (adottivo), avuto da Fausonia, una nobile giovane della Macedonia, fu ucciso mentre si trovava in un luogo stretto e privo di protezione.",
Grazia di Meo,1343,tosc.,"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","Alcuni, pur essendo ricchi e di nobile condizione, si lamentano perché desiderano una moglie diversa da quella che hanno.",
Zanobi da Strada,1361,tosc.,"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","A Pietro, quando gli fu mostrato in visione il popolo dei Gentili, fu detto: 'Uccidi e mangia'.",
Declamazioni di Seneca,1392,tosc.,"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","Gli chiese di liberarlo da quell’obbligo nel quale lo aveva lasciato vincolato. Il gentiluomo acconsentì, lo liberò e ne redasse un documento scritto.",
Giovanni da San Miniato,1415,tosc.,"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","L’oro verrà dal Settentrione. E cosa rappresentiamo noi con il Settentrione, se non il popolo dei Gentili, irrigidito dal gelo del peccato, che fu tenuto sotto il giogo della sua tirannia?",
Prima catilinaria volg. (red. A),1294,fior.,"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.","Che ci sia una divisione tra me e te: non puoi più vivere con noi, perché io non lo accetterò né lo consentirò.",
