sentence,translation,human score
"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","""Altressì uno amante chiamando la sua donna dice parole e ragioni molte, e lei si difende in suo dire.""",5
"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","""Ricordo di essere arrabbiato e di averla sfogata, la mia donna. Oh, quanti giorni questa rabbia mi ha tolto!""",3
colui del quale tu tti solevi dolere ch' era amante della tua donna;,"""quello che ti faceva male, che era amante della tua donna;""",4
"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","""Ma non sapevano ancora le loro parole, perché la donna non aveva ancora nominato i loro nomi.""",5
"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","""Credi? Certo quando si muove, gli dice: ""O fedele mia donna, fai che in mio luogo ti sia raccomandato il nostro ospite troiano"".""",4
"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","A Milano fu ripresa la malvagità di una donna in simile bugia, nel tempo medesimo di questo signore della Repubblica, in questo modo:",4
"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","""E lamentavano dell'ingiustizia di Appio, e si lamentano della malvagità della bellezza della fanciulla e della necessità del padre.""",5
"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","""Nella quale battaglia, certo io ho sempre avuto il coraggio di ragionare di pace e sempre mi è doloroso che non solo la pace fosse stata ignorata.""",4
"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","""La seconda spesso per la grande prudenza fa timoroso, e la prima per l'ardire rendere altrui matto.""",5
Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,Andò nel campo dei cartaginesi e tutta la legione lo seguì.,4
"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.","""Non lo volle cognoscere per male. Questa è quella, la quale diede coraggio al profeta Natan a riprendere con grande autorità quello re, il quale aveva peccato."" 
Moderno: ""Non lo volle conoscere per male. Questa è quella che diede coraggio al profeta Natan a riprendere con grande autorità quel re, il quale aveva peccato.""",4
"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","""L'armi e insieme con loro passano tra i nemici, per cui se qualcuno non avesse coraggio di questo e sì avevano questo animo.""",3
Unde ragionevolemente Iob è interpretato dolente;,"""Dove ragionevolmente Iob è interpretato come sofferente;""",5
"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.","""Chi, di tutti gli altri, perdonasse ai cittadini e a cui potreste più sicuramente credere, poi che fu vostro comandante.""",4
"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","""Invano si domanda chi abbia scritto questo libro, con ciò si deve credere che l'autore sia lo Spirito Santo.""",4
"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","""Se non fosse così diffusa, sarebbe molto più incredibile: è più facile credere che ciò sia vero, dato che l'uomo è destinato al divino e il mondo è immutabile.""",3
che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,"""Che prendessero la paga dal campagnolo per la loro dispensa e, in modo permanente, andassero alla presenza del Papa per contraddire il passaggio dei cavalieri che venivano da Cecilia in Toscana""",3
"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","""Teseo guardò Achelao fortemente meravigliandosi e disse: 'O messer Achelao, ti prego che tu mi dica in che modo hai perso'""",4
"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono","""Spero che Messer Gesù mandino a presto a voi Timoteo, perché voglio essere un uomo buono""",3
sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,"""senza farlo, il salvatico avanza l'uomo d'udire e il lupo cerviere del vedere""",4
uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,"""Un luogo si chiama lancio; la quale cosa i cavalieri l'appellano capo di porco""",3
tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,"""Metti le reti a caccia dei cervi e sa bene in quali valle si nasconde il feroce cinghiale.""",3
"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.","Ora spaventrai i cervi con diverse paure, o lo spietato cenghiare si arrampica in terra, col collo spiedo.",1
"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.","""Tratta la natura delle cose fisiche, che non parlano all'interno delle loro forme, così come Dio e le cose divine.""",2
"Dio, per la quale si dispensano et iudicano tutte le cose.","Dio, che giudica e decide tutte le cose.",4
"Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato","""Dove i poeti, parlando di sé, dicono le loro virtù e dicono fantasticamente i loro difetti, quando la loro sorte li ha destinati a questo ruolo""",3
"e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.","""E quella cosa, che è diretta e onesta, e con virtù, quella sola penso essere il bene.""",4
"Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive","Quando i serpenti invadono di giorno qualcuno Romano, allora è la meraviglia vedere come i Psille si combattono al veleno, perché li immolavano tutte le loro zanne della loro saliva.",3
"Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro","""Il poeta dice: oh, quanto bella è vedere apertamente con gli occhi quando tu gli fai dire o in culo o in altro""",3
"ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.","""ma pur questo fu colpa tua, però che volesti vedere con gli occhi fisici la cosa invisibile.""",4
"Vero è, ma non tine rispondo in questo tempo, perciò che ttu se' mio servo, o perciò ch' è tempo feriato, o perciò ch' io non debbo risponderti","""È vero, ma non posso rispondere in questo momento, perché tu sei il mio servo, perché è tempo fermato, perché non devo rispondere a te""",4
sì convene che lli desse grande avere perché · lasciasse andare via.,"""Sì, mi conviene che ti lascio andare.""",1
"notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta","""Un esempio significativo per chiunque si guardasse di fare e di pensare a un'azione di trasgressione, il servo, che gli era stato accusato, fu punito e fu costretto a restituire una grande quantità di monete.""",2
che sarebbe a llui cosa sconcia se ll'avesse commesso sì che lla colpa del servo e 'l gastigamento di Platone avesse meritato egualmente.,"""Che sarebbe a lui cosa sconvolgere se avesse commesso quel male, che la colpa del servo e il castigo di Platone meritavano ugualmente.""",2
"mostroe massimamente le forze sue, dando lui re a questa cittade ne la quale nacque servo; al quale avvenne lunghissimamente lo imperio tenere","Mostro al massimo le sue forze, dandogli il potere in questa città in cui nacque servo; al quale avvenne a lungo il compito di governare.",3
l' anima muta la sua forza per la propietade di quello corpo a cui ella si congiunge.,"""L'anima si muove per la propria volontà.""",2
"sono due già non in una carne, ma in uno spirito, cioè Iddio, e l' anima. Onde in altro luogo dice S. Paolo: Chi s' accosta a Dio è uno spirito","""Siamo due, non in un corpo, ma in un'anima, cioè Dio e l'anima.  Così San Paolo dice: chi si avvicina a Dio è uno spirito.""",3
"per tanto che Lucano il disse, il vi racontiamo. Ivi, quando l'anima di Pompeo ebe sentito la chiarità di lasusso, ella sì cognobe prima in  grande","""Per questo, Lucano disse, vi raccontiamo.  Quando l'anima di Pompeo ebbe sentito la chiarezza di quella luce, ella si rese conto subito di...""",4
"Sicchè dolore è a udire, quando l' usare l' arme e la fatica ricusano, con grandissimo disonore come pecore essere","""Così il dolore è sentito quando l'uso dell'arma e la fatica ricusano, con grande disonore come un bestiame.""",5
et nonn ebbe in fastido Cristo cotali parole d'udire.,"""e nonn ebbe in fastido Cristo, parole d'udire.""",4
"la moltitudine de' quali tu ài potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e lle cui mani e lance apena posso ritenere.","""La folla di cui tu hai potuto vedere e riguardare lo studio e poco in lontananza udire le voci, e le cui mani e lance appieno posso ritenere.""",3
"udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene","Ascoltare storie belle e respirare fiori profumati, come e quando e quanto è opportuno.",4
"Il re entrò in uno giardino dietro al suo albergo, quasi come s'egli andasse pensando alla risposta.","""Il re entrò in un giardino dietro al suo albergo, quasi come se stesse pensando alla risposta.""",3
"Ma io disioso colà dove io non posso col corpo andare, con la mente vi volo","""Ma io sono lì dove il corpo non può andare, con la mente volo""",4
Ed ecco di subito tutta questa turba degli uccelli si levò a volo dietro all'aquila,"E ecco, subito tutta questa folla degli uccelli si alzò in volo dietro all'aquila.",5
Vede anche le ragioni del volo degli uccielli e di tutte le cose sa rendere vero giudicio.,"""Anche le ragioni del volo degli uccelli e di tutte le cose sa rendere un vero giudizio.""",3
Or ecco quanto per la sua superbia questo uccello volava in alto.,"""Ecco quanto la sua arroganza lo spinse a volare in alto.""",4
"Gorgone, e ho questa proprietà che io volo per l'aire sì come uno ucello"".","""Gorgone, e ho questa proprietà che io volo per l'aria come un ucello.""",4
"quando nella matricola si scrivono giurano per Dio, e per Cristo, e per lo Spirito Santo","""Quando nella matricola si scrivono giurare per Dio, e per Gesù, e per l'Animo Santo""",3
"per necessitade i' ridico ke, secondo il comandamento tuo, padre santo Agostino, le battaglie già state nel mondo [..]","""Per necessità, io credo che le battaglie siano già state nel mondo, secondo il comando di tuo padre santo Agostino.""",5
"molto di maggiore memoria saranno faccendole al re, perciò che nella nostra cittade sempre fue santo e glorioso il nome reale, e sse furono compagni fue il loro nome santissimo;","""Molte persone di maggiore memoria saranno facendole al re, perché nella nostra città sempre fu santo e glorioso il nome reale, e se furono compagni fu il loro nome santo.""",4
"Non voglio, che insuperbischi per lo santo proposito, e voto della verginità vedendo le sue laudi","""Non voglio che, per un santo proposito, e voto di purezza, le sue laudi mi vedano""",3
"Santo Agostino fece u· libro ch'avea nome ""Agostino Della Città di Dio"".","Santo Agostino scrisse un libro intitolato ""Agostino della Città di Dio"".",4
Gregorio. Non udii mai che egli avesse maestro; ma il dono dello Spirito Santo non si può stringere a legge.,"""Gregorio. Non ho mai sentito che avesse un maestro; ma il dono dello Spirito Santo non può essere limitato da regole.""",5
Verbigrazia: Mercatanti fiorentini passavano in nave per andare oltramare.,"""Mercatanti fiorentini attraversavano la nave per andare a fare affari.""",3
"Quando averai nel cavaliere i detti segni veduti non andare a grandezza caendo, perchè nelle battaglie sono più utili i forti che i grandi.","Quando avrai nel cavaliere i segni visti non andare a grandezza caendo, perché nelle battaglie sono più utili i forti che i grandi.",3
"e, cosa che anche è più grave, cioè essere preso, o vero fuggire, e suo Comune lasciare vincere.","""e, cosa che è ancora più grave, cioè essere preso o fuggire, e il comune lasciarlo vincere.""",4
"Sappiate veramente, che se noi non ci fossimo sì affrettati del fuggire, noi saremmo tutti morti.","""Sapete veramente che se non ci fossimo affrettati del fuggire, saremmo tutti morti.""",4
"Tarco cretense che in aiuto era alli nimici avrebbe potuto fuggire, ma la vergogna d'abbandonare li nobilissimi cavalieri della gente achea poco avanti da lui","""Tarco, un cretese che avrebbe potuto scappare in aiuto dei nemici, ma la vergogna di abbandonare i nobili cavalieri della gente poco avanti da lui""",3
"e l' acconciamento a fare grandissime cose, cioè a ttenere pace et amare Idio e 'l proximo, a ffare cittadi, castella e magioni","""E l'acconciamento a fare grandi cose, cioè a mantenere la pace e amare i popoli, e a costruire città, castelli e mansioni.""",4
colui che ancora non sa amare il prossimo come sé medesimo già cominci a temere i giudicii di Dio.,"""Chi ancora non sa amare il prossimo come se stesso già comincia a temere i giudizi di Dio."" 
Moderno: ""Chi non sa amare il prossimo come se stesso, già teme i giudizi di Dio.""",3
"L'ucello, poi che hae impaniate le ali, non fugge salvamente, né llo porco salvatico esce bene delle reti ove cade.","""L'uccello, poi che ha impigliato le ali, non fugge saldamente, né il porco salvato esce bene dalle reti dove cade.""",4
"Io gli apersi, e quelli fuggitte. E che bisogno è, che lo cuore tuo stia chiuso al tuo sposo Cristo?","""Mi aprii, e loro fuggirono. E che bisogno c'è, che il tuo cuore sia chiuso al tuo sposo Cristo?""",3
"E dunque, da che queste cose son così, Catellina, e tu non puoi buonamente qui dimorare, dubiti tu d'andartene in alcuna terra ed usare questa vita fuggendo per li diserti","""E dunque, dato che queste cose sono così, Catellina, e tu non puoi vivere qui serenamente, dubiti tu di andare altrove e di abbandonare questa vita fuggendo per i deserti""",3
"Questi due, volendo contra la voglia del senato dimorare ne l'ufficio del tribunato, furono morti da la plebe, incitandola i padri coscritti.","""Questi due, volendo sfidare il senato, si sono resi vivi nell'ufficio del tribunale, furono uccisi dalla plebe, incitandola i padri coscritti.""",3
"i giovani, a cui il difendimento delle provincie, e la ventura di tutta la battaglia si commette","""I giovani, che si occupano della difesa delle province e della vittoria di tutta la battaglia, sono...""",4
"da' monti de' Romani si feciero nuovi nemici; contra i quali è conbactuto cum diversa ventura: perké nela primaia battaglia, essendo consolo Valerio, MMMD ne moriro de' Romani;","""Da monti dei Romani si fecero nuovi nemici; contro i quali è combattuto con diversa ventura: perché nella prima battaglia, essendo consolato Valerio, morì di Romani.""",4
"noi iscaciati e dipartiti per debito dela cittade, e tutti iscaciati da fama e da ventura buona.","""Noi ci siamo allontanati per debito della città, e tutti ci siamo allontanati per fama e fortuna.""",3
pregaste gli dei per me; e' vostri preghieri valsono: e se voi domandate chi ebbe ventura di questa battaglia; io non fui vinto da colui.,"""Chiedete agli dei per me, le vostre preghiere valgono: e se voi domandate chi ebbe la fortuna di questa battaglia, io non fui sconfitto da lui.""",3
"una villa chiamata Vitermina, con ciò fosse cosa che piusori principi di scherani corressero per ventura a quel tempo a vederlo, Scipione, stimando che venissero per isforzarlo, allogò ne la casa","""Una villa chiamata Vitermina, con ciò che fosse cosa che più nobili principi di scherani corsero per ventura a vederla, Scipione, stimando che venissero per isforzarlo, allogò in quella casa""",4
contra lui e contra le sue sorelle  e contra il reame e contra l' alto pregio della sua ingenerazione e della sua familia,"""Contro di lui e contro le sue sorelle, contro il regno e l'alto pregio della sua origine e della sua famiglia""",5
"Allora che il navilio si fue impinto e messo in alto mare per andare diritto per mezo questo trapasso periglioso, l'aira divenne nuvolosa e pioveginosa","""Allora il battello si schiantò e si alzò in mare per andare diritto per mezo questo pericoloso passaggio, l'aria divenne nebulosa e piovosa""",5
"ne salìo in su l'argine del fosso, e in su lo steccato, se da alto si potessero difendere, o per alcuna maniera passare oltre e scampare.","""Si arrampicò sul bordo del fosso e sulla roccia, se da lontano potessero difendersi o per qualche modo passare oltre e scappare.""",4
"Ma l' occhio della intelligenza è più alto. Perciò che, passata la grandezza della universitade, quella medesima semplice forma vede nella sottil vista","""Ma l'occhio della ragione è più alto. Perciò, dopo aver superato la grandezza dell'università, quella stessa forma semplice vede nella sottil vista""",3
"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","""Se l'occhio è nobile membro del corpo dell'uomo, allora la salutazione è nobile parte della lettera, così come l'occhio illumina l'uomo.""",5
"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.","""Tarentini, nati da quei Lacedemonici e fondati dalla loro nobile città greca.""",4
"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.","""Ulecois, era un uomo ricco e nobile: Orgentore fu chiamato per nome."" 
Moderno: ""Ulecois era un uomo ricco e nobile: Orgentore fu chiamato per nome.""",3
"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","""Tuttavia, se una nobile cosa è alta e abbattuta il male, non è meno laudabile sapere avere misericordia.""",4
"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","Alexandri, il genero e il figlio di Phausonia, un giovane di Macedonia, morto in un luogo deserto senza guardia.",4
"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","""Nessuno è ricco e gentile, ma lamenta che vorrebbe avere un'altra moglie che quella che ha.""",5
"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","Pietro, vedendo la gente gentile, gli fu detto: ""ucciditi e mangia"".",2
"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","""Prego, che lo liberasse da quella obbligazione, in cui egli l'aveva lasciato obbligato. L'uomo gentile si accordò, e libero, e fece la carta.""",2
"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","""L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il popolo gentile congelato dal freddo del peccato, il quale popolo era sotto il giogo della sua tirannia"" 
Moderno: ""L'oro verrà dall'Aquilone. A cosa pensiamo noi per l'Aquilone, se non il popolo gentile congelato dal freddo del peccato, che era sotto il giogo della sua tirannia?""",3
"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.","""Senza di te non potrò più vivere in mezzo a noi, non lo sopporterò e non lo lascerò.""",2
