input,finetuned_translation,human score
"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","un amante che è Allie, una donna che parlava con lei, ha detto Trans:tronovall’Allie ha detto Merzéina, che dice: “Alice”. Trans:trone, trans:trans: Trans:trone che ha detto Merzéina, una donna che parlava con lei, ha detto: ""Alice"": trans:troneva Merzéina, che dice: “Alice.",1
"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","io mi ricordo che scapena discerne An
Date pure
MI fàtti conoscere la mia donna. Ohi, ohi, chièrmati?
Ohi, quanti anni ho detto?
Ohi, ohi, ohi, scapena discerne An
.
 MI fàtti conoscere la mia donna. Ohi,chi 347
chi 347
Ohimè,",1
colui del quale tu tti solevi dolere ch' era amante della tua donna;,"devi soffrire?te deed chevili bene, deviato male, deviato male, deviato male deviato, deviato male deviato male deviato male deviato male deviato male deviato male deviato male deviato male deviato male deviato male deviato male deviato male deviato male deviato male deviato male deviato male deviato male deviato",1
"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Ma non si sa mai dire addio alle nomine dei vari casi, perché no ne parlava già le nomine dei vari casi, perché non c’era alcuno al quale ora nominare no omega le nomine dei vari casi, perché no ne parlava? Translation: non sa mai dimenticare le nomine dei vari casi, perché no ne parlava? Translation: No.

 Translation
 Ma non si",1
"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","Cincinnato?  ì? ì?   ella ti ha: ""O mia donna, fa'le mie pene eterni?  ella: 000 parole?
 ti    um  
""O mia dolcezza,?    ? 000 parole? 000:: 000:000 words?  ? ?
?",1
"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo:","In un tempo, a Milano, a Roma, a Firenze, a Perugia, a Rome, a Perugia, a 
In un tempo, a Perugia, a Roma, a Perugia, a Perugia a Perugia, a Perugia a Perugia, a Perugia, a Perugia, a Perugia, a Perugia a Perugia, a Perugia, a Perugia a Perugia, a Perugia a Perugia, a Perugia, a Perugia, a Perugia a Perugia a Perugia a Perugia, a Perugia a Perugia a Perugia a Perugia a Perugia a",1
"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","E lamentavano della stessa penaia. E, offuscati, o lieto padre,Appio. d'Appio, e riponeva il difettomino di Appio, che e gradita la mia pena, ma non tacciano la penaE, E, offuscato,E, malamente addestrate la mia pena. E, offuscato,Appio. d. d.E, off. E, off.E",1
"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,",In un solo pensiero NUL MUUETINOOOOOO!? NUL MUUETINO!? NUL MUUETINO? NUL MUUETINO? NUL MUUETINO!? NUL MUUETINO!? NUL MUUE? NUL MUUE? NUL MUUE!? NUL MUUETINO? NUL MUUETINO? NUL MUUETINO NUL MUUETINO? NUL MU,1
"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.",la regola sulla grande sapienza fu estesa a tutta la capacità di fare. la regola del merito e la regola della grandiosissima Capra. La sapienza fu estesa a tutta la capacità di fare t. la regola del merito e la regola della grande sapienza furono le grandi pr che si basarono [a far muovere] la regola del merito e la regola della grande sapienza. la suola di fare grande uso. la regola della sap,1
Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,"andò nel campo dei Cartagni.etc. and legionig.

Andò nel campo dei Cartagni.etc. and legion aed and. and.

Andò nel campo dei Cartagni.etc. and legion.etc. and legion.etc. and legion the of
and. and",2
"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.","non lo volle conoscere per nimico. Qesta cosa è, la quale daq a negl,Q Qui siede un profeta Natan a far con grande assitito il re [Benjamin, che aveva peccato di averli a negl. Q Qui non lo vidi alcuno che avesse voluto daq a negl, Q qui siede un profeta Natan, a. Q Quiet, a far con il profeta Natan a far [il re [Benjamin]. Q Qui",1
"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","l'arsenale di umiltà si mette a confronto e si batte la mano di loro con i loro passi reciproci. l'arsenale di umiltà si metta a fare un solo, anche se non hanno le armi per il loro animo.
 trans nonisisono due volte fra gli empi e si batte la mano di loro con i loro passi reciproci.

 si metta a fare un solo, ma in modo violento e spre",1
Unde ragionevolemente Iob è interpretato dolente;,"Undeficiently, at least, I have a certain type of a very good taste, but a very good taste in fine. In general I have a particular a particular taste..
I have a very Good taste in fine.

: At least, at least, in some taste. in fine.
In general I have a very Good taste",1
"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.","che andrete sotto tutti gli altri, voi compreso bene, che cosa fate per il fatto che andrete sotto tutti gli altri, voi invece credete che vi sia un altro adirato, vostro nemico; ora come vi siete a capo di questa trans a causa dei vostri inganni, che andrete sotto tutti gli altri, voi lo stesso adirato, che state in alto; ora come vi siete a capo di questa trans a causa dei vostri nemici; ora come vi siete a capo di questo",1
"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","in vano si domanda chi lo volesse sapere come farlo, Venga pure a me, come sa vano chi lo volesse sapere come farlo, con ciò sia cosa che non possa credere che l’A [ravvertare], che non sia una cosa mirabile [dell’A [Voice].?vien pure a me, come sa VIII, che apostoli la tua fede, Venga pure a me, come sa VIII, Venga pure a me, come sa VIII",1
"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile",se non ci sarebbe stato alcuno di più!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,1
che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,"che prendessero la paga del carónte a causa della mia presunzione di aver fatto del papa a me, per contradeder lealmente la pena dello stupore di cui erano accusatori i cieli. vaniano, che vidi inorbitanto la pena di Ceciliaope, che inorvate la pena di questo peccato, vano, per contradetudine, diede la pena al papa, che 
 che inorvate la penaena di questo peccato vano. vano, che vidi inoroscio, vano, toscana, che ora",1
"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste",Teseo regináce de' Lentini ace. Regi. Achelao. Regio.. T. Regio. T. Regio. Regio. regine. Regio. Regio. Regio.Reg T.Regio.Regio. Regio. Regio. reginae regino.Regio. Regio. Regio. Regio.Regio. Regio.Regio T.Regio. Regio.Reg.,1
"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono","Io credo che le cose vanno così,timamente acciocchè io credo che le cose vanno male,timamente inviato da Dio.
 Iesce pure che toate a dovere,timamente ho inviato da Dio.
Trans: io credo che le cose vanno così,timamente acciocché io credo che le cose vanno male,timamente inviato da Dio.

Trans",1
sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,"s senza fallire nell'avvolgere il cane da caccia e l'avvolte il lupo. Al caligine sempre veloce del sole avanza l'uomo del dire e l'avvolte il lupo
' lupo' avanzavano a fatica l'avvolte sul lidi boscaglie e avvolte il cane da caccia e l'avvolte il lupo. Al",1
uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,"uno si mandavano a casa loro, che ora sono venuti al loro posto.",1
tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,"tendi le reti a causa dei buoni e salva i cattivi.ti. taniera.ti basti.ti.ti.ti
 ti mostri alle reti a causa dei buoni e salva i cattivi.ti.ti basti.ti.ti.ti.ti.ti.ti.tiba.ti basti.ti basti.ti.ti basti.ti.ti.ti most",1
"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.","Odiagnati che hai sentito il pianto di Ss. Ora gli neghi di andare a farsi ca. Odiagnati che hai sentito il pianto di Ss in terra. odio cada in terra, odia. o trans. Odia o Odia. Odia, o odio. Odia o Outer. Ora gli neghi di andare a farsi ca. Odia o Odia o. Odio. Odia o Odio",1
"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.","tratta la natura delle cose che non sono intercambiabili tra loro, così come Dio e le divine cose divine. trans
Translation: le cose tra di loro sono intercambiabili, così come Dio e le divine cose divine. Translation: le cose che non sono intercambiabili fra loroate, così come Dio e le divine cose divine. trans. Translation: le cose tra di loro intercambiabili.

Translation: le cose tra",1
"Dio, per la quale si dispensano et iudicano tutte le cose.",Translation: Translation: Translation: Translation: Translation: Translation: Transmission: Transmission: Transmission: Transmitted Transmission: Transmission: Transmission: Transmission: Transmission: Transmission: Transmission: Transmission: Transmission: Trans: Trans: Transmission: Trans: Trans Transmission: Transmission: Transmission: Trans,1
"Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato",Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Trans,1
"e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.","e quella, che, onesta, ha un solo e un solo pensiero, onesta, onesta,et can only be onderingue laTranslation.et allontanadaientamente,., che, onesta, onesta,et trans on onesta, onesta,et onontOneto, onont have Onl on ont be on ont, on onet can only onont on",1
"Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive","Quando gli spiriti invariavano di giorno in giorno, come le fiammelle sulla pelle ne abbellivano il velo monacale che poi li fece battere, come fa il mantello di san Bernardo VIII. quando i demoni invidiavano per la luce del sole, come sa bene chi era adirato con gli occhi rossi di sangue, come sa bene chi era adirato con gli occhi rossi di san Bernardo VIII. quando i demoni invidiavano la luce del sole, come sa bene chi era adirato con gli occhi",1
"Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro",", che bella cosa è vedere, concèdimi il tuo poeta, o in culo o in culo a causa dei tuoi occhi, che sono belli o in culo o in culo, quando tugl tiènili in culo o in culo, o in culo, quando tu galla o in culo o in culo in culo a causa dei tuoi occhi, che sono belli o in culoor, quando tu te ne",1
"ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.","ma non vidi mai che ci si volgeva a guardare i difetti della natura. Ma vidi sempre la tua superbia, perché la tua superbia non è mai stata vana. vidi sempre la superbia dei dannati. Ma vidi sempre la superbia degli uomini, che non vidi mai che ci si volgeva a guardare i difetti della natura. Ma vidi sempre la tua superbia, perché non vidi mai v",1
"Vero è, ma non tine rispondo in questo tempo, perciò che ttu se' mio servo, o perciò ch' è tempo feriato, o perciò ch' io non debbo risponderti","loop"", in questo tempo, in questo tempo, in questo tempo, in questo tempo, in questo tempo, in questo tempo, in questo tempo, o in questo tempo, in questo tempo, in questo tempo, in questo tempo, in questo tempo, in questo tempo, in questo tempo, in questo tempo, in questo tempo, in questo tempo, in questo tempo, in questo tempo, in questo tempo, in questo tempo, in questo tempo, in questo tempo, in questo tempo, in questo tempo",1
sì convene che lli desse grande avere perché · lasciasse andare via.,"se non si sarebbe potuto andar da solo, se non ci fosse stato un traditore in tutta la trans italy, se non ci fosse stato un traditore con tutta la fl
 ditegli che ci avrebbe voluto passare del tempo con l’impedire che le sue cose sarebbero state separate da solo, se non ci fosse stato un traditore in tutta la trans italy,",1
"notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta","notabile anm
 a ciascun essere esaminato e a ciascun'[ra ier
a far conoscere la via del purgatorio, il servo, il quale gli aveva accusanti, e fu Francese.it. a
va sempre impallidito [di fare [la via del purgatorio] a tal punto fu meridiano a far bene, e a far [il profetaical] inorridente, il servo [Priolo], il quale gli aveva offuscato ogni influsso [dell",1
che sarebbe a llui cosa sconcia se ll'avesse commesso sì che lla colpa del servo e 'l gastigamento di Platone avesse meritato egualmente.,che fosse gravemente negligente dell'avessi tratto da solo l'errore che avrebbe commesso tanto e l'aver commesso un tale errore sarebbe stato punito con la colpa del servo e il gasigiotto avrebbe meritato ugualmente la colpa. L'avessi tratto da solo l'errore che avrebbe commesso tanto e l'aver commesso un tale errore sarebbe stato punito con la colpa per aver commesso un tale errore sarebbe stato punito con la colpa del servo e con il gasigio,1
"mostroe massimamente le forze sue, dando lui re a questa cittade ne la quale nacque servo; al quale avvenne lunghissimamente lo imperio tenere","mostro solamente ineguale le sue forze, dando a lui un solo re, mostrandosi a questo punto della vita in cui nacque. bestia ineguale. alle quali ebbe origine il suo imperatoretos,rendendo le sue forze. ineguale ilarequ his in beati in me, dando a lui un solo re, mostrandosi a questo punto della vita in cui nacque bestia. bestia ineguale. in perse a causa a cui in continuar il",1
l' anima muta la sua forza per la propietade di quello corpo a cui ella si congiunge.,l'anima muta [da qui] la sua forza per il fatto che ella si unisce [il [Dio] con il corpo [Dio].  [il [Dio] si congiunge [ al [Dio]. [ [] l'anima muta [da qui]la sua forza [ per il fatto che [ [ si unisce] con [il [Dio] []. [ [il],1
"sono due già non in una carne, ma in uno spirito, cioè Iddio, e l' anima. Onde in altro luogo dice S. Paolo: Chi s' accosta a Dio è uno spirito","on a non sono state mai in due in uno spirito, ma in uno spirito, a me, a onor a Dio, a onor a.one, S. Paolo: Chi non lo è stato mai, a dire, a: Spirito Santo, on a non sono state mai due in due in uno spirito,,
. a S. Paolo: Chièrqu a non onor a non onor a onor a.one, S. Paolo: on non sono state mai due, a",1
"per tanto che Lucano il disse, il vi racontiamo. Ivi, quando l'anima di Pompeo ebe sentito la chiarità di lasusso, ella sì cognobe prima in  grande","per questo motivo Lucignano il disse, il vi dice conficcino, il vibrado da Lucignano, quando l'anima di Pompeo eBe sentii sentire la contraddizione di lucubucca, Translation, volg
, Translation, Trans aed. il. vi dico apertamente, il vi dico conficcino, il vibroso Transit, quando lassù    Luc
, Lucignano. Trans. trans, Trans. Trans. Translationi",1
"Sicchè dolore è a udire, quando l' usare l' arme e la fatica ricusano, con grandissimo disonore come pecore essere",", Translation is a human most importantencepharmacy, great importance of critical reading comprehension,, and, Translation, is a, trans., Translation is a human mostimport point outworthy,, il volumeability, is a is a human mostimportance of, translation very good a, Translation in general, great importance of, Trans,, and Trans is a human mostimport point outworthy,,, a trans is a human",1
et nonn ebbe in fastido Cristo cotali parole d'udire.,"nonnnn ebbe a dire di Cristo il fatto che non ha fatto alcun apostoli.
Translation: nonnnn ebbe in sorte un tale apostoli, che non hanno saputo dire di Cristo. trans
Translation: nonnnnn ebbe in sorte un simile apostoli, che non hanno saputo dire di Cristo. nonnnnn",1
"la moltitudine de' quali tu ài potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e lle cui mani e lance apena posso ritenere.","che tu hai riconosciuto la fama e le tue opere. che tu hai riconosciuto e che devi assolutamente sapere e riguardare [Date leone]. la grande varietà di voci e la loro qualità [ [Date]. la tua presenza e le tue opere [Donati]. che puoi aver sentito [Date]. che tu hai riconosciuto e che devi assolutamente sapere e [Date], se vuoi proprio vedere [Date]. la tua voce, in modo] che tu possa conoscere il motivo [Date]. la tua presenza",1
"udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene",dearest poeti,1
"Il re entrò in uno giardino dietro al suo albergo, quasi come s'egli andasse pensando alla risposta.","Il re [Priori] si allontanò dal luogo [con il quale] ha soggiornato [Hotel Name], [Hotel Name] si allontanò [da qui] dietro al suo albergo [Hotel Name]. [Hotel Name] si allontanò [da qui] dal luogo [con il quale [Hotel Name] si allontanò [ dai luoghi] che sono] a causa del suo arrivo [Hotel Name] si allontanò [ da qui].",1
"Ma io disioso colà dove io non posso col corpo andare, con la mente vi volo","Ma io sono convinto che il luogo del purgatorio non può andar con il corpo in quella zona del purgatorio, che non posso con il mio corpo fare con le mani. Da qui mi si allontano con il mio corpo, con la mente è sempre possibile andare, con il mio corpo non va da solo, ma deve essere con il mio corpo in quella zona del purgatorio",1
Ed ecco di subito tutta questa turba degli uccelli si levò a volo dietro all'aquila,"Ed ecco quiete tutta la schiera degli uccelli che si levarono al volo verso l'aquila
Translation: Ed ecco quaete tutta la schiera degli uccelli che si levarono al volo verso l’aquila. Ed ecco quiete tutta la schiera degli uccelli che si levarono al volo verso l’aquila
Translation: Ed ecco quiete tutta la schiera degli uccelli che si levarono al volo",1
Vede anche le ragioni del volo degli uccielli e di tutte le cose sa rendere vero giudicio.,Vede anche le prove che gli uinianieggiano e le altre cose che dicevano. Vende pure le prove che gli uinianieggiano e di tutte le cose saare dire che il vero. Vede anche le prove che gli uinianieggiano e le altre cose che dicevano. Vede anche le prove che gli uinianieggiano e le altre cose che dicevano. Venga,1
Or ecco quanto per la sua superbia questo uccello volava in alto.,"Ora quassù !
Innalza a superba, superba, superba, superba, superba, superba, superba, superba, superba, superba, superba, superba, superba, superba, superba, superba, superba, superba, superba, superba, superba, superba, super",1
"Gorgone, e ho questa proprietà che io volo per l'aire sì come uno ucello"".","Gorgone e ho questa virtù, che io devoto a tal punto la pena di morte inumana. Gorgone e ho questo Ucello, che io devoto, come un ucello di quell'ubbro, che io devoto inumano. Gorgone e ho questo Ucello di tale pena. G. G. G. G. da Wikipedia",1
"quando nella matricola si scrivono giurano per Dio, e per Cristo, e per lo Spirito Santo","quando nella Matricna si scrivono anche le parole di Gualdrate, Gualdrate, andate, Gualdrate, andate. Gualdrate, Gualdrate, andate. Gualdrate, G.ime, translatio, G to Gualdrate, Gualdrateate, Gualdrate, Gualdrate, Gualdrate",1
"per necessitade i' ridico ke, secondo il comandamento tuo, padre santo Agostino, le battaglie già state nel mondo [..]","per averli di' il tuo animo a dovere , secondo i quali i'religi in questo mondo [ordo il tuo animo con il tuo animo santo.

, secondo i vostri desideri, state state state all' world
 [Your an the your you of course,
, [or] in
, a causa dei quali i'religi [ in questo mondo [ordo il tuo animo [to a Dio]. state state a",1
"molto di maggiore memoria saranno faccendole al re, perciò che nella nostra cittade sempre fue santo e glorioso il nome reale, e sse furono compagni fue il loro nome santissimo;","m molto bene ricorderanno la nostra memoria di meno, perché in essa c'è sempre il nostro santo e glorioso nome , che nella nostra città fu sempre santo e glorioso e sane, come compagni eravamo noi.., che in Siena c'era sempre il nostro santo e veneranda.
. in in. di Siena.
ope state a mente f. da. a. in Siena., che in Siena c'era sempre il nostro santo e veneranda c.
 in. in Siena. c. in Siena. c. in Siena",1
"Non voglio, che insuperbischi per lo santo proposito, e voto della verginità vedendo le sue laudi","Non voglio che tu intenda di nuovo, o Signore, of course, of course, the ver a the ver a the santo desiderio and, non voglio che tu intenda di nuovo, o Signore, of course, verace, of course, the ver a the santo desiderio.

, o Signore, of course, of course, verace, verace, verace, verace, verace, verace, verace",1
"Santo Agostino fece u· libro ch'avea nome ""Agostino Della Città di Dio"".","""ra santo agn Gualdrata Gualdria dea Gualdria,

""racconce Gualdria, Gualdria, Gualdria, Gualdria, Gualdria, Gualdria, Gualdria, Gualdria, Gualdria, Gualdria, Guald",1
Gregorio. Non udii mai che egli avesse maestro; ma il dono dello Spirito Santo non si può stringere a legge.,"Gregorio. Non si può essere Gregoriano solo a causa del diavolo, ma forda sempre il maestro. Gregoriano non si deve essere né gregore né maestro. G. non si può essere Gregoriato. G. Gregoriano non si può fare da solo. G. Gregoriano non si deve fare da solo, G. non si deve governare Gregoriano non si",1
Verbigrazia: Mercatanti fiorentini passavano in nave per andare oltramare.,Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans,1
"Quando averai nel cavaliere i detti segni veduti non andare a grandezza caendo, perchè nelle battaglie sono più utili i forti che i grandi.","Quando avidi con i segni meno noti, non ho visto né impedito che nei tornei [di fuoco] ci fossero più adatti i punte [dell’impedimenti]. Quando avidi con i segni meno conosciuti , non ho visto né favorito la qualità [ delle mie deboli mani] negli scontri di palma, perché in quei tormenti ero più gradito che avessero le armi più potenti [dei colpi]. Quando avidi con i segni meno conosciuti [davanti alle armi], non ho",1
"e, cosa che anche è più grave, cioè essere preso, o vero fuggire, e suo Comune lasciare vincere.","e, come da una freccia si mette a correre verso il basso, o vero fuggire da un altro, non viene più veloce, come una freccia che è più grave, odeva passare il tempo come un’altra freccia, a correre verso il basso. e, come da una freccia si mette a correre verso il basso, o vero fuggire da un altro, non viene più lenta, come una freccia",1
"Sappiate veramente, che se noi non ci fossimo sì affrettati del fuggire, noi saremmo tutti morti.","Transitional hypothesis that, asing a the, that, asing, that, is crime is not necessarily the one of, being that, is kind, the, that, trans, is very well being, and that, asing that, that, that, asing that, that, asing that, that, asing that, that, asing that, is very the, that, asing that, asing",1
"Tarco cretense che in aiuto era alli nimici avrebbe potuto fuggire, ma la vergogna d'abbandonare li nobilissimi cavalieri della gente achea poco avanti da lui","Tonia Credeva dire che in aiuto ci sarebbe stato un solo aiuto per le sue creature ma l’avvolte in errore ci sarebbe stata ignorando il cavallo di Dite , ma la crederesti veramente prima di lui. Credeva dire che in aiuto ci sarebbe stato un solo aiuto per le sue creature maomèrberovoci come pure in errore ci sarebbe stata ignorando il cavallo di Dite , mah non l’avvolte in errore. Cre. Cre. Cre. Cre.edevo.",1
"e l' acconciamento a fare grandissime cose, cioè a ttenere pace et amare Idio e 'l proximo, a ffare cittadi, castella e magioni","e l'accon con leone in tandem [conficc a fare grande impresa [di fare grandi imprese], cioè a far pace eterna [all'Africano] a fare [Constellati a] lode, [con l'Acconto [ a]iretino da far [con lode] a fare grande impresa [a far [ in pace eterno] a fare [Moderatamente] l'Acconto [ [ a]",1
colui che ancora non sa amare il prossimo come sé medesimo già cominci a temere i giudicii di Dio.,translation of this sin to the other translantançais to another language also in the next few sentencestranslation: translation of this sin not already known so. translation of this sin not already known so. Translation also. translation. translation of this sinot more trans. Trans can of this the other end to another translation the. translation of this sin not already known so Trans this sin not already known so. translation of this. translation,1
"L'ucello, poi che hae impaniate le ali, non fugge salvamente, né llo porco salvatico esce bene delle reti ove cade.",", non fugge da solo, ma lo fa da solo, e, dopo che hae impelli i denti in su, non fugge nemmeno dal pastore, né lloop saviano, non fugge neppure dai canali temPorali, non fugge neanche da solo, ma lo fa da solo e, dopo che hae pr unciniato i denti, non fugge neanche dal pastore, né lloop Saviano, non fugge nemmeno",1
