response,reference_answer,score
"Marco Cornelio, che era dei dieci compagni, si riservò di parlare alla fine.","Marco Cornelio, uno dei dieci compagni, si mise da parte e parlò per ultimo con attenzione.",2
cose che conoscevo sono state fatte in Italia.,Cose che sapevo fossero già successe in Italia.,3
Corbio il nipote di Hortensus ha portato la sua vita inferiore e più vizioso,"Corbio, il nipote di Ortensio, conduceva una vita molto più povera e viziosa.",2
"Anche un amante che chiama Merzé alla sua donna dice molte parole e ragioni, e lei si difende nel suo dire.","Anche un innamorato, chiedendo pietà alla sua donna, parla tanto per convincerla, e lei risponde cercando di difendersi con le sue parole.",3
"Ricordo (ch. 347) che, essendo arrabbiato, ho inseguito la mia donna. Oh, quante di questa rabbia mi ha portato via!","Preso dalla rabbia, arrivai a strappare i capelli di mia moglie. Quella rabbia mi tormentò per giorni interi.",4
Colui di cui amavi la tua donna.,Quello di cui ti lamentavi era innamorato della tua donna.,1
"Ma non conoscono già i nomi di quelli della cospirazione, perché la donna non ha menzionato i nomi.","Non sapevano ancora chi fossero i congiurati, perché la donna non aveva fatto nessun nome",4
"Quando si mosse, vi disse: ""O donna mia fedele, sia il nostro Ostia di Troia a comandarti al mio posto.""","Sul serio? Quando lui se ne andò, disse: ‘Mia cara, ti affido il nostro ospite troiano mentre io non ci sono.’",1
"A Milano è stata repressa la malvagità di una donna in una tale menzogna, allo stesso tempo come questo signore della repubblica, in questo modo:","A Milano, mentre governava quel signore della repubblica, fu smascherata una donna che aveva detto una bugia simile.",1
"E si sono lamentati delle iniquità di Appio, e si sono rammaricati della malavventura bellezza del pulcino e del bisogno del padre.","Criticavano l’ingiustizia di Appio, soffrivano la sorte orribile della giovane ragazza e la tragica scelta del padre.",2
"In cui la battaglia, naturalmente, ho sempre osato ragionare per la pace e mi ha sempre domato che non solo la pace era disgustata,","Durante la battaglia, ho proposto sempre la pace e mi è dispiaciuto che oltre a essere ignorata, venne anche disprezzata.",1
"la seconda pianta a volte per la grande bontà di rendere spaventoso, e il primo a rendere audacemente gli altri pazzi.","La seconda volta, se sei troppo prudente finisci con l’avere paura. La prima volta avere troppo coraggio può farti diventare incosciente",1
Andò al campo dei Cartaginesi e tutta la legione disegnò secus.,"Andò verso il campo dei Cartaginesi, portando con sé tutta la legione.",1
"Non voleva conoscerlo come un nemico. Questo è colui che ha dato al profeta Natan il coraggio di assumere con grande autorità quel re, che aveva peccato.","Non voleva vederlo come un nemico. Fu quella stessa forza che diede a Natan, il profeta, il coraggio di affrontare con fermezza il re colpevole",2
"le braccia e con esse passano per il nemico, perché se qualcuno non avesse osato di questo, e sì, avevano quest'anima.","Nella biblioteca polverosa, i manoscritti antichi raccontavano storie dimenticate.",1
Inde ragionevolmente Giobbe è interpretato come doloroso;,"Perciò, è sensato che il nome Giobbe venga inteso come ‘sofferente
",1
"ciò che sopra tutti gli altri ha perdonato i cittadini e che voi potete certamente credere, e che egli è stato il vostro capo.","Più di tutti, è stato lui a mostrare clemenza verso i cittadini. Potete fidarvi di lui, dato che un tempo fu al vostro comando.",2
"Invano ci si chiede chi scrisse questo Libro, che è ciò che si deve credere fedelmente che l'Autore di questo era lo Spirito Santo.",Non ha senso domandarsi chi abbia scritto questo libro perché bisogna credere che sia stato ispirato dallo spirito santo,3
"Se non fosse usato molto, questo sembrerebbe certamente molto più incredibile: certamente più facilmente si può credere che, dal momento che lo spirito umano al divino, e il cambiamento per l'incommutabile","Se non fossimo abituati, sembrerebbe davvero incredibile. In fondo, è più facile crederci se pensiamo a quanto l’essere umano sia diverso da Dio, e quanto tutto ciò che cambia sia lontano da ciò che resta sempre uguale.",1
che ha preso la paga dai Camarlingo per la loro dispensa e immanente è andato alla presenza di Messer il Papa per contraddire il passaggio dei cavalieri che sono venuti a Cecilia in Toscana,Che si facessero dare i soldi dal camerlengo per conto proprio e andassero subito dal papa a protestare contro il passaggio dei cavalieri che stavano arrivando dalla Sicilia in Toscana.,2
"Teseo guardò Achelaus, e si meravigliò, dicendo: ""O Messer Achelaus, ti prego, che tu mi dica come hai perso.","Teseo fissò sorpreso Achelao e disse: ‘Achelao, ti prego, raccontami com'è che hai perso.’",1
"Spero che Messer Gesu' vi mandera' Timoteo, perche' io sia di buon cuore.","Spero che Gesù mi aiuti a mandarvi presto Timoteo, così sarò più tranquillo",1
Senza infastidire il maiale salvatore avanza l'uomo a sentire e' il lupo cervo di vedere,Sicuramente il cinghiale ci sente meglio di un uomo e il lupo ci vede meglio.,1
un luogo è stato mandato a gettarsi; e i cavalieri lo chiamano testa di maiale.,In un luogo si scagliano lancioni; questa cosa i cavalieri la chiamano 'capo di porco'.,1
Egli tende le reti al cervo e sa bene in quale valle abita il maiale selvatico furioso.,"tenda le reti ai cervi, e sa bene in quali valli si nasconde il furioso cinghiale.",2
"Ora li spaventerai con paure diverse e diverse, o con il maiale che canta merda nel passato.","adesso spaventerai i desiderosi cervi con vari e diversi timori, oppure il cinghiale cadrà a terra trafitto dallo spiedo.",1
"Si occupa della natura delle cose incorporate che non convergono nel corpo, così come di Dio e delle cose divine.","tratta della natura delle cose immateriali, che non interagiscono con i corpi, come Dio e le cose divine.",2
"Dio, per il quale tutte le cose sono dispensate e iudicate.","Dio, attraverso il quale tutte le cose vengono distribuite e giudicate.",2
"I poeti non morti, parlando di loro, dicono loro il virtuoso, e parlano in modo favoloso delle loro colpe, quando nessuno passò l'ordine al loro vice.","Così i poeti, parlando di sé, descrivono le proprie virtù e raccontano in modo fantastico i propri difetti, quando qualcuno eccede l'ordine a loro assegnato.",2
"E quella cosa, che è directa et onesta, e virtuosamente, quella che penso sia buona.","e quella cosa che è giusta e onesta, e che possiede virtù, solo quella penso sia il bene.",2
"E avvenne, quando i serpenti allestirono i Romani di giorno, che si meravigliarono di come i Psille combattessero contro il veleno, che li derubassero delle loro salive.","Quando i serpenti avvelenavano qualcuno dei Romani durante il giorno, era una meraviglia vedere come i Psille combattevano contro il veleno, poiché essi immolavano tutto ciò che avevano nella loro saliva.",4
"Dice il poeta: Oh, che cosa bella è vedere apertamente con i tuoi occhi quando li fai guardare o nel culo o in altri","Dice il poeta: oh, che bella cosa è vedere chiaramente con gli occhi quando glie lo fai passare dietro, o nel culo, o in altri posti.",2
"Ma e' stata colpa tua, ma volevi vedere la cosa invisibile con i tuoi occhi corporei.","ma questa fu colpa tua, perché volevi cercare di vedere con gli occhi la cosa invisibile.",2
"È vero, ma non rispondo in questo momento, quindi che è mio servo, o quindi che è ferito, o che non dovrei rispondere a te.","è vero, ma non ti rispondo ora, perché sei mio servo, oppure perché è tempo di festa, o perché non devo risponderti.",1
"in modo che egli dovrebbe dare loro grande di dover ""lasciare andare.""","si decise di dare loro una grande somma, affinché li lasciassero andare.",1
"Il servo, che lo aveva accusato, è stato liberato, e gli è stato dato una grande quantità di denaro, un esempio notevole a tutti coloro che si guardavano a fare e a pensare il tradimento.",un esempio significativo per chiunque volesse o pensasse di tradire; il servo che lo aveva accusato fu liberato e gli fu data una grande quantità di denaro.,4
che sarebbe per lui una cosa sporca se l'avesse commessa in modo che anche la colpa del servo e 'il gastigamento di Platone aveva meritato.,sarebbe per lui una cosa vergognosa se avesse commesso un'azione tale che la colpa del servo e la punizione di Platone fossero equivalenti.,2
"In verità egli mostrò la sua forza e gli diede il re a questa cittadella nella quale nacque servo, alla quale l'impero tenne molto a lungo.","mostrò in modo massimo le sue forze, dandogli il ruolo di re in questa città dove era nato come servo; lui tenne il potere per molto tempo.",4
l'anima cambia la sua forza per la propietade di quel corpo a cui si unisce.,l'anima cambia la sua forza in base alla proprietà del corpo con cui si unisce.,1
"Sono già due, non in una carne, ma in uno spirito, cioè Dio e l'anima. Perciò un altro luogo dice San Paolo: Chi si avvicina a Dio è uno spirito","eEssi non sono più in un corpo, ma in uno spirito, cioè in Dio e nell'anima. Come dice San Paolo in un altro passo: Chi si avvicina a Dio è uno spirito.",1
"Là, quando l'anima di Pompeo sentì la chiarezza della sua parola, divenne così grande per prima.","poiché Lucano lo raccontò, ve lo narriamo anche noi. Là, quando l’anima di Pompeo percepì la luce dall’alto, allora riconobbe sé stessa profondamente.",2
"Così che il dolore è quello di sentire, quando l'uso delle armi e del lavoro ricusare, con grande disonore come pecore di essere","È doloroso sentire, quando si rifiutano di usare le armi e di affrontare la fatica, con grande disonore, come se fossero pecore.",2
e la nonna aveva in Cristo fastidioso tali parole da ascoltare.,e Cristo non provò fastidio ad ascoltare tali parole.,1
"la moltitudine di cui si poteva vedere e guardare lo studio e poco prima di sentire le voci, e le cui mani e lance riesco a malapena a tenere.","hai potuto vedere e osservare l’impegno di quella moltitudine, e poco prima udirne le voci, e le cui mani e lance riesco a stento a trattenere.",2
"udito di bellissimi romanzi e odore di bellissimi fiori, come e quando e quanto si adatta","ascoltare belle storie e sentire il profumo di bei fiori, nei tempi, quando e per quanto appropriate.",2
"Il re entrò in un giardino dietro il suo hotel, quasi come se stesse pensando alla risposta.","Il re entrò in un giardino dietro il suo alloggio, come se stesse riflettendo sulla risposta.",2
"Ma esigo dove non posso con il corpo andare, con la mente ti volo","Ma io, desideroso di andare là dove il corpo non può arrivare, ci volo con la mente.",1
"Ed ecco, subito tutta questa folla di uccelli si alzò volando dopo l'aquila.","Ed ecco che, all’improvviso, tutta quella schiera di uccelli si alzò in volo seguendo l’aquila.",4
Egli vede anche le ragioni per il volo dei cuccioli e di tutte le cose può fare vero giudizio.,Comprende anche le cause del volo degli uccelli e sa esprimere un giudizio veritiero su ogni cosa.,2
Questo è quanto questo uccello volò alto.,"Ecco dunque quanto questo uccello, per la sua superbia, volava in alto.",2
"Gorgone, e ho questa proprietà che volo in aria sì come un uccello.""","Gorgone, e possiedo questa capacità: volo nell’aria come un uccello.",2
"quando giurano per Dio, per Cristo e per lo Spirito Santo,","quando si scrivono nel registro, giurano per Dio, per Cristo e per lo Spirito Santo.",1
"secondo il tuo comandamento, santo padre Agostino, le battaglie che sono già state nel mondo [..]","per necessità ripeto che, secondo il tuo comandamento, padre santo Agostino, le battaglie sono già avvenute nel mondo.",1
"Sarà fatto molto più ricordo al re, in modo che nella nostra cittadella il nome reale era sempre santo e glorioso, e che erano compagni era il loro nome santissimo;","saranno ricordate con molta più importanza se fatte per il re, poiché nella nostra città il nome reale è sempre stato considerato sacro e glorioso, e anche il nome dei suoi compagni è stato ritenuto santissimo.",4
"Non voglio, che io esaltare per il santo proposito, e voto di verginità, vedendo le sue lodi.","Non voglio che tu diventi superbo per il tuo santo proposito e voto di verginità, ascoltando le lodi che ti vengono rivolte.",2
"Sant'Agostino fece un libro chiamato ""Agostino della Città di Dio.""","Sant’Agostino scrisse un libro che si intitolava La Città di Dio,",2
Gregorio. Non ho mai sentito che aveva un maestro; ma il dono dello Spirito Santo non può essere stretto dalla legge.,Di Gregorio non ho mai sentito dire che avesse avuto un maestro; ma il dono dello Spirito Santo non può essere limitato da regole.,2
Verbigrazia: i mercanti fiorentini andavano via nave per esagerare.,"Ad esempio, i mercanti fiorentini si imbarcavano per raggiungere territori oltre il mare.",1
"Quando avete nel cavaliere i detti segni visto non andare alla grandezza caendo, perché nelle battaglie i forti sono più utili di quelli grandi.","Quando riconoscerai quei segni in un cavaliere, non badare alla sua grandezza fisica, perché in battaglia contano più il coraggio e la forza d’animo che la corporatura.",2
"e, che è anche più grave, vale a dire da prendere, o vera a fuggire, e la sua Comune a lasciarsi vincere.","E, cosa ancora più grave, cioè essere catturato, oppure fuggire, lasciando che il proprio Comune venga sconfitto.",2
"Sappiate davvero che se non fossimo fuggiti di corsa, saremmo tutti morti.","Siate certi che, se non avessimo fatto in fretta a fuggire, saremmo tutti morti.",1
Ma la vergogna di abbandonare i nobili cavalieri del popolo acheo proprio davanti a lui,"Tarco, cretese che si era schierato in aiuto dei nemici, avrebbe potuto fuggire, ma si vergognò di abbandonare i nobilissimi cavalieri dell’esercito acheo che si trovavano poco più avanti di lui.",1
"e l'acconciatura per fare grandi cose, cioè per ottenere pace e amore Idio e' il prossimo, per trattare cittadine, castello e palazzi","E l’inclinazione a realizzare grandi opere, come mantenere la pace, amare Dio e il prossimo, e costruire città, fortezze e abitazioni.",2
Chi non sa ancora amare il prossimo come se stesso comincia già a temere i giudici di Dio.,"Chi non ha ancora imparato ad amare il prossimo come sé stesso, dovrebbe almeno cominciare ad avere timore del giudizio divino.",1
"L'uccello, poi avendo le sue ali in preda al panico, non fugge in sicurezza, né il maiale salato esce bene dalle reti dove cade.","Quando l’uccello ha le ali impigliate, non può più volare via in salvo, così come il cinghiale selvatico non riesce a liberarsi facilmente dalle reti in cui è rimasto intrappolato.",2
"L'ho aperta e quelli sono fuggiti, e che bisogno c'e' che il tuo cuore sia chiuso al tuo sposo Cristo?","Io li aprii, e quelli fuggirono. E perché mai il tuo cuore dovrebbe restare chiuso al tuo sposo, Cristo?",2
"E quindi, poiché queste cose sono così, Catellina, e tu non puoi abitare bene qui, dubiti di andare in qualsiasi terra, e di usare questa vita, fuggendo verso i deserti.","Allora, dato che le cose stanno così, Catilina, e che non puoi più restare qui senza disonore, perché esiti ad andartene in qualche paese lontano e a continuare questa tua vita errante nei deserti?",2
"Questi due, volendo contro la volontà del senato di dimorare nell'ufficio del tribuno, sono stati uccisi dalla plebe, istigando i padri arruolati.","Questi due uomini, che volevano restare nell’ufficio di tribuni nonostante l’opposizione del senato, furono messi a morte dalla plebe, istigata dai senatori.",3
"giovani, a cui la difesa delle province, e l'avventura di tutta la battaglia è impegnata","I giovani, ai quali è affidata la difesa delle province e la sorte dell'intera battaglia.",2
"Dalle montagne dei Romani sono stati fatti nuovi nemici; contro cui è conbactuto cum diversa avventura: perké nella prima battaglia, essendo console Valerio, MMMD sono morti dei Romani;","Dai monti dei Romani sorsero nuovi nemici, contro i quali si combatté con esiti alterni: infatti, nella prima battaglia, quando Valerio era console, morirono tremilacinquecento Romani.",2
"Siamo ascesi e partiti per il debito della cittadella, e tutti noi siamo ascesi per fama e buona fortuna.","Siamo stati esiliati e costretti a partire per dovere verso la città, perdendo anche la nostra reputazione e ogni favore della sorte.",1
"Tu hai pregato gli dei per me; sono le tue preghiere; e se chiedi chi è venuto da questa battaglia, io non sono stato vinto da lui.","Avete pregato gli dèi per me, e le vostre preghiere hanno avuto effetto. E se vi domandate chi sia stato il vincitore di questa battaglia, vi dico che non sono stato sconfitto da lui.",2
"una villa chiamata Vitermine, con la quale era che i principi degli schernitori correvano per avventura in quel momento per vederlo, Scipione, stimando che sono venuti a rafforzarlo, alloggiato in casa","In una villa chiamata Vitermina, dove per caso diversi capi di briganti si erano radunati per vederlo, Scipione, pensando che fossero lì per assalirlo, si rinchiuse nella casa.",2
contro di lui e contro le sue sorelle e contro il regno e contro l'alto valore della sua generazione e della sua famiglia,"Contro di lui, le sue sorelle, il suo regno e il prestigio della sua nobile discendenza e famiglia.",2
"E avvenne che la nave fu ripiena, e messa in alto mare, per passare dritta in mezzo a questo pericoloso passaggio, che l'ira divenne nuvolosa e piovosa.","Nel momento in cui la nave si spinse al largo per attraversare quel tratto di mare pericoloso, il cielo si coprì di nuvole e cominciò a cadere una leggera pioggia.",1
"Si arrampicò sull'argine del fosso, e su per la recinzione, se potevano difendersi dall'alto, o in qualsiasi modo passare oltre e fuggire.","Salirono sull’argine del fossato e sulla palizzata, sperando di potersi difendere meglio dall’alto o di trovare un modo per oltrepassare e mettersi in salvo.",3
"Ma l'occhio dell'intelligenza è più alto. Perciò, dopo la grandezza dell'università, quella forma molto semplice vede nella vista sottostante","Tuttavia, la mente vede più in alto, perché, una volta superata la visione dell’intero universo, essa contempla con acume quella stessa forma essenziale nella sua purezza.",2
"E se l'occhio è un nobile membro del corpo dell'uomo, allora il saluto è una parte nobile della pistola, c'è anche alluminio tutta la lettera come l'uomo occhio di alluminio.","E se l’occhio è una parte nobile del corpo umano, allora anche il saluto è una parte nobile dell’epistola, poiché illumina l’intera lettera così come l’occhio illumina l’uomo.",1
"Tarentini, che nacquero da quelli di Lacedemonia et fata dalla loro nobile cittadella dei Greci.","I Tarantini, discendenti dei Lacedemoni, e fondatori di una nobile città della Grecia.",2
"Ulecois, ebe un uomo reco e nobile: Orgent è stato chiamato per nome.","Presso gli Ulecoi viveva un uomo ricco e di nobile stirpe, chiamato Orgentore.",1
"ma che, sia nobile cosa o alto è combattuto il nemico, ampoi grandn è meno lodevole di sapere avere misericordia","Infatti, se è un atto nobile e glorioso abbattere il nemico, è altrettanto lodevole saper avere misericordia una volta vinto.",2
"Alexandri, questo è il genero e' il genero, da Phausonia, giovane donna gentile di Macedonia, in piedi in un luogo stretto senza guardia, era morto.","Alessandro, cioè il genero e figlio (adottivo), avuto da Fausonia, una nobile giovane della Macedonia, fu ucciso mentre si trovava in un luogo stretto e privo di protezione.",1
"Alchuno è ricco e gentile, ma si lamenta che vorrebbe avere un'altra moglie rispetto a quella che è.","Alcuni, pur essendo ricchi e di nobile condizione, si lamentano perché desiderano una moglie diversa da quella che hanno.",4
"Pietro, essendo mostrato nella sua figura il popolo Gentile, è stato detto: uccidere e mangiare","A Pietro, quando gli fu mostrato in visione il popolo dei Gentili, fu detto: 'Uccidi e mangia'.",2
"L'ho pregato di liberarlo da quell'obbligo, in cui lo aveva lasciato legato. L'uomo gentile si è astenuto, lo ha liberato e ne ha fatto la carta.","Gli chiese di liberarlo da quell’obbligo nel quale lo aveva lasciato vincolato. Il gentiluomo acconsentì, lo liberò e ne redasse un documento scritto.",4
"L'oro uscirà dall'aquilone, che noi immaginiamo per l'aquilone, eccetto il popoloso Gentile congelato dal freddo del peccato, che la gente teneva sotto il giogo della sua tirannia.","L’oro verrà dal Settentrione. E cosa rappresentiamo noi con il Settentrione, se non il popolo dei Gentili, irrigidito dal gelo del peccato, che fu tenuto sotto il giogo della sua tirannia?",2
"Sii in mezzo a me e a te; con noi non puoi più dimorare, perché non l'ho addolorato e non lo lascerò.","Che ci sia una divisione tra me e te: non puoi più vivere con noi, perché io non lo accetterò né lo consentirò.",1
