response,reference_answer,score
"""È vero, ma non posso rispondere in questo momento, perché tu sei il mio servo, perché è tempo fermato, perché non devo rispondere a te""","è vero, ma non ti rispondo ora, perché sei mio servo, oppure perché è tempo di festa, o perché non devo risponderti.",2
"""Sì, mi conviene che ti lascio andare.""","si decise di dare loro una grande somma, affinché li lasciassero andare.",1
"""Un esempio significativo per chiunque si guardasse di fare e di pensare a un'azione di trasgressione, il servo, che gli era stato accusato, fu punito e fu costretto a restituire una grande quantità di monete.""",un esempio significativo per chiunque volesse o pensasse di tradire; il servo che lo aveva accusato fu liberato e gli fu data una grande quantità di denaro.,1
"""Che sarebbe a lui cosa sconvolgere se avesse commesso quel male, che la colpa del servo e il castigo di Platone meritavano ugualmente.""",sarebbe per lui una cosa vergognosa se avesse commesso un'azione tale che la colpa del servo e la punizione di Platone fossero equivalenti.,2
"Mostro al massimo le sue forze, dandogli il potere in questa città in cui nacque servo; al quale avvenne a lungo il compito di governare.","mostrò in modo massimo le sue forze, dandogli il ruolo di re in questa città dove era nato come servo; lui tenne il potere per molto tempo.",4
"""L'anima si muove per la propria volontà.""",l'anima cambia la sua forza in base alla proprietà del corpo con cui si unisce.,1
"""Siamo due, non in un corpo, ma in un'anima, cioè Dio e l'anima.  Così San Paolo dice: chi si avvicina a Dio è uno spirito.""","eEssi non sono più in un corpo, ma in uno spirito, cioè in Dio e nell'anima. Come dice San Paolo in un altro passo: Chi si avvicina a Dio è uno spirito.",1
"""Per questo, Lucano disse, vi raccontiamo.  Quando l'anima di Pompeo ebbe sentito la chiarezza di quella luce, ella si rese conto subito di...""","poiché Lucano lo raccontò, ve lo narriamo anche noi. Là, quando l’anima di Pompeo percepì la luce dall’alto, allora riconobbe sé stessa profondamente.",2
"""Così il dolore è sentito quando l'uso dell'arma e la fatica ricusano, con grande disonore come un bestiame.""","È doloroso sentire, quando si rifiutano di usare le armi e di affrontare la fatica, con grande disonore, come se fossero pecore.",2
"""e nonn ebbe in fastido Cristo, parole d'udire.""",e Cristo non provò fastidio ad ascoltare tali parole.,1
"""La folla di cui tu hai potuto vedere e riguardare lo studio e poco in lontananza udire le voci, e le cui mani e lance appieno posso ritenere.""","hai potuto vedere e osservare l’impegno di quella moltitudine, e poco prima udirne le voci, e le cui mani e lance riesco a stento a trattenere.",1
"Ascoltare storie belle e respirare fiori profumati, come e quando e quanto è opportuno.","ascoltare belle storie e sentire il profumo di bei fiori, nei tempi, quando e per quanto appropriate.",2
"""Il re entrò in un giardino dietro al suo albergo, quasi come se stesse pensando alla risposta.""","Il re entrò in un giardino dietro il suo alloggio, come se stesse riflettendo sulla risposta.",2
"""Ma io sono lì dove il corpo non può andare, con la mente volo""","Ma io, desideroso di andare là dove il corpo non può arrivare, ci volo con la mente.",2
"E ecco, subito tutta questa folla degli uccelli si alzò in volo dietro all'aquila.","Ed ecco che, all’improvviso, tutta quella schiera di uccelli si alzò in volo seguendo l’aquila.",4
"""Anche le ragioni del volo degli uccelli e di tutte le cose sa rendere un vero giudizio.""",Comprende anche le cause del volo degli uccelli e sa esprimere un giudizio veritiero su ogni cosa.,2
"""Ecco quanto la sua arroganza lo spinse a volare in alto.""","Ecco dunque quanto questo uccello, per la sua superbia, volava in alto.",1
"""Gorgone, e ho questa proprietà che io volo per l'aria come un ucello.""","Gorgone, e possiedo questa capacità: volo nell’aria come un uccello.",2
"""Quando nella matricola si scrivono giurare per Dio, e per Gesù, e per l'Animo Santo""","quando si scrivono nel registro, giurano per Dio, per Cristo e per lo Spirito Santo.",2
"""Per necessità, io credo che le battaglie siano già state nel mondo, secondo il comando di tuo padre santo Agostino.""","per necessità ripeto che, secondo il tuo comandamento, padre santo Agostino, le battaglie sono già avvenute nel mondo.",4
"""Molte persone di maggiore memoria saranno facendole al re, perché nella nostra città sempre fu santo e glorioso il nome reale, e se furono compagni fu il loro nome santo.""","saranno ricordate con molta più importanza se fatte per il re, poiché nella nostra città il nome reale è sempre stato considerato sacro e glorioso, e anche il nome dei suoi compagni è stato ritenuto santissimo.",3
"""Non voglio che, per un santo proposito, e voto di purezza, le sue laudi mi vedano""","Non voglio che tu diventi superbo per il tuo santo proposito e voto di verginità, ascoltando le lodi che ti vengono rivolte.",1
"Santo Agostino scrisse un libro intitolato ""Agostino della Città di Dio"".","Sant’Agostino scrisse un libro che si intitolava La Città di Dio,",4
"""Gregorio. Non ho mai sentito che avesse un maestro; ma il dono dello Spirito Santo non può essere limitato da regole.""",Di Gregorio non ho mai sentito dire che avesse avuto un maestro; ma il dono dello Spirito Santo non può essere limitato da regole.,2
"""Mercatanti fiorentini attraversavano la nave per andare a fare affari.""","Ad esempio, i mercanti fiorentini si imbarcavano per raggiungere territori oltre il mare.",2
"Quando avrai nel cavaliere i segni visti non andare a grandezza caendo, perché nelle battaglie sono più utili i forti che i grandi.","Quando riconoscerai quei segni in un cavaliere, non badare alla sua grandezza fisica, perché in battaglia contano più il coraggio e la forza d’animo che la corporatura.",2
"""e, cosa che è ancora più grave, cioè essere preso o fuggire, e il comune lasciarlo vincere.""","E, cosa ancora più grave, cioè essere catturato, oppure fuggire, lasciando che il proprio Comune venga sconfitto.",2
"""Sapete veramente che se non ci fossimo affrettati del fuggire, saremmo tutti morti.""","Siate certi che, se non avessimo fatto in fretta a fuggire, saremmo tutti morti.",2
"""Tarco, un cretese che avrebbe potuto scappare in aiuto dei nemici, ma la vergogna di abbandonare i nobili cavalieri della gente poco avanti da lui""","Tarco, cretese che si era schierato in aiuto dei nemici, avrebbe potuto fuggire, ma si vergognò di abbandonare i nobilissimi cavalieri dell’esercito acheo che si trovavano poco più avanti di lui.",4
"""E l'acconciamento a fare grandi cose, cioè a mantenere la pace e amare i popoli, e a costruire città, castelli e mansioni.""","E l’inclinazione a realizzare grandi opere, come mantenere la pace, amare Dio e il prossimo, e costruire città, fortezze e abitazioni.",4
"""Chi ancora non sa amare il prossimo come se stesso già comincia a temere i giudizi di Dio."" 
Moderno: ""Chi non sa amare il prossimo come se stesso, già teme i giudizi di Dio.""","Chi non ha ancora imparato ad amare il prossimo come sé stesso, dovrebbe almeno cominciare ad avere timore del giudizio divino.",3
"""L'uccello, poi che ha impigliato le ali, non fugge saldamente, né il porco salvato esce bene dalle reti dove cade.""","Quando l’uccello ha le ali impigliate, non può più volare via in salvo, così come il cinghiale selvatico non riesce a liberarsi facilmente dalle reti in cui è rimasto intrappolato.",1
"""Mi aprii, e loro fuggirono. E che bisogno c'è, che il tuo cuore sia chiuso al tuo sposo Cristo?""","Io li aprii, e quelli fuggirono. E perché mai il tuo cuore dovrebbe restare chiuso al tuo sposo, Cristo?",1
"""E dunque, dato che queste cose sono così, Catellina, e tu non puoi vivere qui serenamente, dubiti tu di andare altrove e di abbandonare questa vita fuggendo per i deserti""","Allora, dato che le cose stanno così, Catilina, e che non puoi più restare qui senza disonore, perché esiti ad andartene in qualche paese lontano e a continuare questa tua vita errante nei deserti?",2
"""Questi due, volendo sfidare il senato, si sono resi vivi nell'ufficio del tribunale, furono uccisi dalla plebe, incitandola i padri coscritti.""","Questi due uomini, che volevano restare nell’ufficio di tribuni nonostante l’opposizione del senato, furono messi a morte dalla plebe, istigata dai senatori.",1
"""I giovani, che si occupano della difesa delle province e della vittoria di tutta la battaglia, sono...""","I giovani, ai quali è affidata la difesa delle province e la sorte dell'intera battaglia.",1
"""Da monti dei Romani si fecero nuovi nemici; contro i quali è combattuto con diversa ventura: perché nella prima battaglia, essendo consolato Valerio, morì di Romani.""","Dai monti dei Romani sorsero nuovi nemici, contro i quali si combatté con esiti alterni: infatti, nella prima battaglia, quando Valerio era console, morirono tremilacinquecento Romani.",1
"""Noi ci siamo allontanati per debito della città, e tutti ci siamo allontanati per fama e fortuna.""","Siamo stati esiliati e costretti a partire per dovere verso la città, perdendo anche la nostra reputazione e ogni favore della sorte.",2
"""Chiedete agli dei per me, le vostre preghiere valgono: e se voi domandate chi ebbe la fortuna di questa battaglia, io non fui sconfitto da lui.""","Avete pregato gli dèi per me, e le vostre preghiere hanno avuto effetto. E se vi domandate chi sia stato il vincitore di questa battaglia, vi dico che non sono stato sconfitto da lui.",3
"""Una villa chiamata Vitermina, con ciò che fosse cosa che più nobili principi di scherani corsero per ventura a vederla, Scipione, stimando che venissero per isforzarlo, allogò in quella casa""","In una villa chiamata Vitermina, dove per caso diversi capi di briganti si erano radunati per vederlo, Scipione, pensando che fossero lì per assalirlo, si rinchiuse nella casa.",1
"""Contro di lui e contro le sue sorelle, contro il regno e l'alto pregio della sua origine e della sua famiglia""","Contro di lui, le sue sorelle, il suo regno e il prestigio della sua nobile discendenza e famiglia.",2
"""Allora il battello si schiantò e si alzò in mare per andare diritto per mezo questo pericoloso passaggio, l'aria divenne nebulosa e piovosa""","Nel momento in cui la nave si spinse al largo per attraversare quel tratto di mare pericoloso, il cielo si coprì di nuvole e cominciò a cadere una leggera pioggia.",2
"""Si arrampicò sul bordo del fosso e sulla roccia, se da lontano potessero difendersi o per qualche modo passare oltre e scappare.""","Salirono sull’argine del fossato e sulla palizzata, sperando di potersi difendere meglio dall’alto o di trovare un modo per oltrepassare e mettersi in salvo.",2
"""Ma l'occhio della ragione è più alto. Perciò, dopo aver superato la grandezza dell'università, quella stessa forma semplice vede nella sottil vista""","Tuttavia, la mente vede più in alto, perché, una volta superata la visione dell’intero universo, essa contempla con acume quella stessa forma essenziale nella sua purezza.",2
"""Se l'occhio è nobile membro del corpo dell'uomo, allora la salutazione è nobile parte della lettera, così come l'occhio illumina l'uomo.""","E se l’occhio è una parte nobile del corpo umano, allora anche il saluto è una parte nobile dell’epistola, poiché illumina l’intera lettera così come l’occhio illumina l’uomo.",3
"""Tarentini, nati da quei Lacedemonici e fondati dalla loro nobile città greca.""","I Tarantini, discendenti dei Lacedemoni, e fondatori di una nobile città della Grecia.",2
"""Ulecois, era un uomo ricco e nobile: Orgentore fu chiamato per nome."" 
Moderno: ""Ulecois era un uomo ricco e nobile: Orgentore fu chiamato per nome.""","Presso gli Ulecoi viveva un uomo ricco e di nobile stirpe, chiamato Orgentore.",1
"""Tuttavia, se una nobile cosa è alta e abbattuta il male, non è meno laudabile sapere avere misericordia.""","Infatti, se è un atto nobile e glorioso abbattere il nemico, è altrettanto lodevole saper avere misericordia una volta vinto.",2
"Alexandri, il genero e il figlio di Phausonia, un giovane di Macedonia, morto in un luogo deserto senza guardia.","Alessandro, cioè il genero e figlio (adottivo), avuto da Fausonia, una nobile giovane della Macedonia, fu ucciso mentre si trovava in un luogo stretto e privo di protezione.",1
"""Nessuno è ricco e gentile, ma lamenta che vorrebbe avere un'altra moglie che quella che ha.""","Alcuni, pur essendo ricchi e di nobile condizione, si lamentano perché desiderano una moglie diversa da quella che hanno.",1
"Pietro, vedendo la gente gentile, gli fu detto: ""ucciditi e mangia"".","A Pietro, quando gli fu mostrato in visione il popolo dei Gentili, fu detto: 'Uccidi e mangia'.",1
"""Prego, che lo liberasse da quella obbligazione, in cui egli l'aveva lasciato obbligato. L'uomo gentile si accordò, e libero, e fece la carta.""","Gli chiese di liberarlo da quell’obbligo nel quale lo aveva lasciato vincolato. Il gentiluomo acconsentì, lo liberò e ne redasse un documento scritto.",2
"""L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il popolo gentile congelato dal freddo del peccato, il quale popolo era sotto il giogo della sua tirannia"" 
Moderno: ""L'oro verrà dall'Aquilone. A cosa pensiamo noi per l'Aquilone, se non il popolo gentile congelato dal freddo del peccato, che era sotto il giogo della sua tirannia?""","L’oro verrà dal Settentrione. E cosa rappresentiamo noi con il Settentrione, se non il popolo dei Gentili, irrigidito dal gelo del peccato, che fu tenuto sotto il giogo della sua tirannia?",3
"""Senza di te non potrò più vivere in mezzo a noi, non lo sopporterò e non lo lascerò.""","Che ci sia una divisione tra me e te: non puoi più vivere con noi, perché io non lo accetterò né lo consentirò.",5
