response,reference_answer,score
"devi soffrire?te deed chevili bene, deviato male, deviato male, deviato male deviato, deviato male deviato male deviato male deviato male deviato male deviato male deviato male deviato male deviato male deviato male deviato male deviato male deviato male deviato male deviato male deviato male deviato male deviato",Quello di cui ti lamentavi era innamorato della tua donna.,1
"Ma non si sa mai dire addio alle nomine dei vari casi, perché no ne parlava già le nomine dei vari casi, perché non c’era alcuno al quale ora nominare no omega le nomine dei vari casi, perché no ne parlava? Translation: non sa mai dimenticare le nomine dei vari casi, perché no ne parlava? Translation: No.

 Translation
 Ma non si","Non sapevano ancora chi fossero i congiurati, perché la donna non aveva fatto nessun nome",1
"Cincinnato?  ì? ì?   ella ti ha: ""O mia donna, fa'le mie pene eterni?  ella: 000 parole?
 ti    um  
""O mia dolcezza,?    ? 000 parole? 000:: 000:000 words?  ? ?
?","Sul serio? Quando lui se ne andò, disse: ‘Mia cara, ti affido il nostro ospite troiano mentre io non ci sono.’",1
"In un tempo, a Milano, a Roma, a Firenze, a Perugia, a Rome, a Perugia, a 
In un tempo, a Perugia, a Roma, a Perugia, a Perugia a Perugia, a Perugia a Perugia, a Perugia, a Perugia, a Perugia, a Perugia a Perugia, a Perugia, a Perugia a Perugia, a Perugia a Perugia, a Perugia, a Perugia, a Perugia a Perugia a Perugia a Perugia, a Perugia a Perugia a Perugia a Perugia a Perugia a","A Milano, mentre governava quel signore della repubblica, fu smascherata una donna che aveva detto una bugia simile.",1
"E lamentavano della stessa penaia. E, offuscati, o lieto padre,Appio. d'Appio, e riponeva il difettomino di Appio, che e gradita la mia pena, ma non tacciano la penaE, E, offuscato,E, malamente addestrate la mia pena. E, offuscato,Appio. d. d.E, off. E, off.E","Criticavano l’ingiustizia di Appio, soffrivano la sorte orribile della giovane ragazza e la tragica scelta del padre.",1
In un solo pensiero NUL MUUETINOOOOOO!? NUL MUUETINO!? NUL MUUETINO? NUL MUUETINO? NUL MUUETINO!? NUL MUUETINO!? NUL MUUE? NUL MUUE? NUL MUUE!? NUL MUUETINO? NUL MUUETINO? NUL MUUETINO NUL MUUETINO? NUL MU,"Durante la battaglia, ho proposto sempre la pace e mi è dispiaciuto che oltre a essere ignorata, venne anche disprezzata.",1
la regola sulla grande sapienza fu estesa a tutta la capacità di fare. la regola del merito e la regola della grandiosissima Capra. La sapienza fu estesa a tutta la capacità di fare t. la regola del merito e la regola della grande sapienza furono le grandi pr che si basarono [a far muovere] la regola del merito e la regola della grande sapienza. la suola di fare grande uso. la regola della sap,"La seconda volta, se sei troppo prudente finisci con l’avere paura. La prima volta avere troppo coraggio può farti diventare incosciente",2
"andò nel campo dei Cartagni.etc. and legionig.

Andò nel campo dei Cartagni.etc. and legion aed and. and.

Andò nel campo dei Cartagni.etc. and legion.etc. and legion.etc. and legion the of
and. and","Andò verso il campo dei Cartaginesi, portando con sé tutta la legione.",1
"non lo volle conoscere per nimico. Qesta cosa è, la quale daq a negl,Q Qui siede un profeta Natan a far con grande assitito il re [Benjamin, che aveva peccato di averli a negl. Q Qui non lo vidi alcuno che avesse voluto daq a negl, Q qui siede un profeta Natan, a. Q Quiet, a far con il profeta Natan a far [il re [Benjamin]. Q Qui","Non voleva vederlo come un nemico. Fu quella stessa forza che diede a Natan, il profeta, il coraggio di affrontare con fermezza il re colpevole",1
"l'arsenale di umiltà si mette a confronto e si batte la mano di loro con i loro passi reciproci. l'arsenale di umiltà si metta a fare un solo, anche se non hanno le armi per il loro animo.
 trans nonisisono due volte fra gli empi e si batte la mano di loro con i loro passi reciproci.

 si metta a fare un solo, ma in modo violento e spre","Nella biblioteca polverosa, i manoscritti antichi raccontavano storie dimenticate.",1
"Undeficiently, at least, I have a certain type of a very good taste, but a very good taste in fine. In general I have a particular a particular taste..
I have a very Good taste in fine.

: At least, at least, in some taste. in fine.
In general I have a very Good taste","Perciò, è sensato che il nome Giobbe venga inteso come ‘sofferente
",1
"che andrete sotto tutti gli altri, voi compreso bene, che cosa fate per il fatto che andrete sotto tutti gli altri, voi invece credete che vi sia un altro adirato, vostro nemico; ora come vi siete a capo di questa trans a causa dei vostri inganni, che andrete sotto tutti gli altri, voi lo stesso adirato, che state in alto; ora come vi siete a capo di questa trans a causa dei vostri nemici; ora come vi siete a capo di questo","Più di tutti, è stato lui a mostrare clemenza verso i cittadini. Potete fidarvi di lui, dato che un tempo fu al vostro comando.",1
"in vano si domanda chi lo volesse sapere come farlo, Venga pure a me, come sa vano chi lo volesse sapere come farlo, con ciò sia cosa che non possa credere che l’A [ravvertare], che non sia una cosa mirabile [dell’A [Voice].?vien pure a me, come sa VIII, che apostoli la tua fede, Venga pure a me, come sa VIII, Venga pure a me, come sa VIII",Non ha senso domandarsi chi abbia scritto questo libro perché bisogna credere che sia stato ispirato dallo spirito santo,1
se non ci sarebbe stato alcuno di più!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,"Se non fossimo abituati, sembrerebbe davvero incredibile. In fondo, è più facile crederci se pensiamo a quanto l’essere umano sia diverso da Dio, e quanto tutto ciò che cambia sia lontano da ciò che resta sempre uguale.",1
"che prendessero la paga del carónte a causa della mia presunzione di aver fatto del papa a me, per contradeder lealmente la pena dello stupore di cui erano accusatori i cieli. vaniano, che vidi inorbitanto la pena di Ceciliaope, che inorvate la pena di questo peccato, vano, per contradetudine, diede la pena al papa, che 
 che inorvate la penaena di questo peccato vano. vano, che vidi inoroscio, vano, toscana, che ora",Che si facessero dare i soldi dal camerlengo per conto proprio e andassero subito dal papa a protestare contro il passaggio dei cavalieri che stavano arrivando dalla Sicilia in Toscana.,1
Teseo regináce de' Lentini ace. Regi. Achelao. Regio.. T. Regio. T. Regio. Regio. regine. Regio. Regio. Regio.Reg T.Regio.Regio. Regio. Regio. reginae regino.Regio. Regio. Regio. Regio.Regio. Regio.Regio T.Regio. Regio.Reg.,"Teseo fissò sorpreso Achelao e disse: ‘Achelao, ti prego, raccontami com'è che hai perso.’",1
"Io credo che le cose vanno così,timamente acciocchè io credo che le cose vanno male,timamente inviato da Dio.
 Iesce pure che toate a dovere,timamente ho inviato da Dio.
Trans: io credo che le cose vanno così,timamente acciocché io credo che le cose vanno male,timamente inviato da Dio.

Trans","Spero che Gesù mi aiuti a mandarvi presto Timoteo, così sarò più tranquillo",1
"s senza fallire nell'avvolgere il cane da caccia e l'avvolte il lupo. Al caligine sempre veloce del sole avanza l'uomo del dire e l'avvolte il lupo
' lupo' avanzavano a fatica l'avvolte sul lidi boscaglie e avvolte il cane da caccia e l'avvolte il lupo. Al",Sicuramente il cinghiale ci sente meglio di un uomo e il lupo ci vede meglio.,1
"uno si mandavano a casa loro, che ora sono venuti al loro posto.",In un luogo si scagliano lancioni; questa cosa i cavalieri la chiamano 'capo di porco'.,5
"tendi le reti a causa dei buoni e salva i cattivi.ti. taniera.ti basti.ti.ti.ti
 ti mostri alle reti a causa dei buoni e salva i cattivi.ti.ti basti.ti.ti.ti.ti.ti.ti.tiba.ti basti.ti basti.ti.ti basti.ti.ti.ti most","tenda le reti ai cervi, e sa bene in quali valli si nasconde il furioso cinghiale.",1
"Odiagnati che hai sentito il pianto di Ss. Ora gli neghi di andare a farsi ca. Odiagnati che hai sentito il pianto di Ss in terra. odio cada in terra, odia. o trans. Odia o Odia. Odia, o odio. Odia o Outer. Ora gli neghi di andare a farsi ca. Odia o Odia o. Odio. Odia o Odio","adesso spaventerai i desiderosi cervi con vari e diversi timori, oppure il cinghiale cadrà a terra trafitto dallo spiedo.",1
"tratta la natura delle cose che non sono intercambiabili tra loro, così come Dio e le divine cose divine. trans
Translation: le cose tra di loro sono intercambiabili, così come Dio e le divine cose divine. Translation: le cose che non sono intercambiabili fra loroate, così come Dio e le divine cose divine. trans. Translation: le cose tra di loro intercambiabili.

Translation: le cose tra","tratta della natura delle cose immateriali, che non interagiscono con i corpi, come Dio e le cose divine.",1
Translation: Translation: Translation: Translation: Translation: Translation: Transmission: Transmission: Transmission: Transmitted Transmission: Transmission: Transmission: Transmission: Transmission: Transmission: Transmission: Transmission: Transmission: Trans: Trans: Transmission: Trans: Trans Transmission: Transmission: Transmission: Trans,"Dio, attraverso il quale tutte le cose vengono distribuite e giudicate.",0
Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Transl Trans,"Così i poeti, parlando di sé, descrivono le proprie virtù e raccontano in modo fantastico i propri difetti, quando qualcuno eccede l'ordine a loro assegnato.",1
"e quella, che, onesta, ha un solo e un solo pensiero, onesta, onesta,et can only be onderingue laTranslation.et allontanadaientamente,., che, onesta, onesta,et trans on onesta, onesta,et onontOneto, onont have Onl on ont be on ont, on onet can only onont on","e quella cosa che è giusta e onesta, e che possiede virtù, solo quella penso sia il bene.",1
"Quando gli spiriti invariavano di giorno in giorno, come le fiammelle sulla pelle ne abbellivano il velo monacale che poi li fece battere, come fa il mantello di san Bernardo VIII. quando i demoni invidiavano per la luce del sole, come sa bene chi era adirato con gli occhi rossi di sangue, come sa bene chi era adirato con gli occhi rossi di san Bernardo VIII. quando i demoni invidiavano la luce del sole, come sa bene chi era adirato con gli occhi","Quando i serpenti avvelenavano qualcuno dei Romani durante il giorno, era una meraviglia vedere come i Psille combattevano contro il veleno, poiché essi immolavano tutto ciò che avevano nella loro saliva.",1
", che bella cosa è vedere, concèdimi il tuo poeta, o in culo o in culo a causa dei tuoi occhi, che sono belli o in culo o in culo, quando tugl tiènili in culo o in culo, o in culo, quando tu galla o in culo o in culo in culo a causa dei tuoi occhi, che sono belli o in culoor, quando tu te ne","Dice il poeta: oh, che bella cosa è vedere chiaramente con gli occhi quando glie lo fai passare dietro, o nel culo, o in altri posti.",1
"ma non vidi mai che ci si volgeva a guardare i difetti della natura. Ma vidi sempre la tua superbia, perché la tua superbia non è mai stata vana. vidi sempre la superbia dei dannati. Ma vidi sempre la superbia degli uomini, che non vidi mai che ci si volgeva a guardare i difetti della natura. Ma vidi sempre la tua superbia, perché non vidi mai v","ma questa fu colpa tua, perché volevi cercare di vedere con gli occhi la cosa invisibile.",1
"'loop"", in questo tempo, in questo tempo, in questo tempo, in questo tempo, in questo tempo, in questo tempo, in questo tempo, o in questo tempo, in questo tempo, in questo tempo, in questo tempo, in questo tempo, in questo tempo, in questo tempo, in questo tempo, in questo tempo, in questo tempo, in questo tempo, in questo tempo, in questo tempo, in questo tempo, in questo tempo, in questo tempo, in questo tempo, in questo tempo","è vero, ma non ti rispondo ora, perché sei mio servo, oppure perché è tempo di festa, o perché non devo risponderti.",1
"se non si sarebbe potuto andar da solo, se non ci fosse stato un traditore in tutta la trans italy, se non ci fosse stato un traditore con tutta la fl
 ditegli che ci avrebbe voluto passare del tempo con l’impedire che le sue cose sarebbero state separate da solo, se non ci fosse stato un traditore in tutta la trans italy,","si decise di dare loro una grande somma, affinché li lasciassero andare.",1
"notabile anm
 a ciascun essere esaminato e a ciascun'[ra ier
a far conoscere la via del purgatorio, il servo, il quale gli aveva accusanti, e fu Francese.it. a
va sempre impallidito [di fare [la via del purgatorio] a tal punto fu meridiano a far bene, e a far [il profetaical] inorridente, il servo [Priolo], il quale gli aveva offuscato ogni influsso [dell",un esempio significativo per chiunque volesse o pensasse di tradire; il servo che lo aveva accusato fu liberato e gli fu data una grande quantità di denaro.,1
che fosse gravemente negligente dell'avessi tratto da solo l'errore che avrebbe commesso tanto e l'aver commesso un tale errore sarebbe stato punito con la colpa del servo e il gasigiotto avrebbe meritato ugualmente la colpa. L'avessi tratto da solo l'errore che avrebbe commesso tanto e l'aver commesso un tale errore sarebbe stato punito con la colpa per aver commesso un tale errore sarebbe stato punito con la colpa del servo e con il gasigio,sarebbe per lui una cosa vergognosa se avesse commesso un'azione tale che la colpa del servo e la punizione di Platone fossero equivalenti.,1
"mostro solamente ineguale le sue forze, dando a lui un solo re, mostrandosi a questo punto della vita in cui nacque. bestia ineguale. alle quali ebbe origine il suo imperatoretos,rendendo le sue forze. ineguale ilarequ his in beati in me, dando a lui un solo re, mostrandosi a questo punto della vita in cui nacque bestia. bestia ineguale. in perse a causa a cui in continuar il","mostrò in modo massimo le sue forze, dandogli il ruolo di re in questa città dove era nato come servo; lui tenne il potere per molto tempo.",1
l'anima muta [da qui] la sua forza per il fatto che ella si unisce [il [Dio] con il corpo [Dio].  [il [Dio] si congiunge [ al [Dio]. [ [] l'anima muta [da qui]la sua forza [ per il fatto che [ [ si unisce] con [il [Dio] []. [ [il],l'anima cambia la sua forza in base alla proprietà del corpo con cui si unisce.,1
"on a non sono state mai in due in uno spirito, ma in uno spirito, a me, a onor a Dio, a onor a.one, S. Paolo: Chi non lo è stato mai, a dire, a: Spirito Santo, on a non sono state mai due in due in uno spirito,,
. a S. Paolo: Chièrqu a non onor a non onor a onor a.one, S. Paolo: on non sono state mai due, a","eEssi non sono più in un corpo, ma in uno spirito, cioè in Dio e nell'anima. Come dice San Paolo in un altro passo: Chi si avvicina a Dio è uno spirito.",1
"per questo motivo Lucignano il disse, il vi dice conficcino, il vibrado da Lucignano, quando l'anima di Pompeo eBe sentii sentire la contraddizione di lucubucca, Translation, volg
, Translation, Trans aed. il. vi dico apertamente, il vi dico conficcino, il vibroso Transit, quando lassù    Luc
, Lucignano. Trans. trans, Trans. Trans. Translationi","poiché Lucano lo raccontò, ve lo narriamo anche noi. Là, quando l’anima di Pompeo percepì la luce dall’alto, allora riconobbe sé stessa profondamente.",1
", Translation is a human most importantencepharmacy, great importance of critical reading comprehension,, and, Translation, is a, trans., Translation is a human mostimport point outworthy,, il volumeability, is a is a human mostimportance of, translation very good a, Translation in general, great importance of, Trans,, and Trans is a human mostimport point outworthy,,, a trans is a human","È doloroso sentire, quando si rifiutano di usare le armi e di affrontare la fatica, con grande disonore, come se fossero pecore.",1
"nonnnn ebbe a dire di Cristo il fatto che non ha fatto alcun apostoli.
Translation: nonnnn ebbe in sorte un tale apostoli, che non hanno saputo dire di Cristo. trans
Translation: nonnnnn ebbe in sorte un simile apostoli, che non hanno saputo dire di Cristo. nonnnnn",e Cristo non provò fastidio ad ascoltare tali parole.,1
"che tu hai riconosciuto la fama e le tue opere. che tu hai riconosciuto e che devi assolutamente sapere e riguardare [Date leone]. la grande varietà di voci e la loro qualità [ [Date]. la tua presenza e le tue opere [Donati]. che puoi aver sentito [Date]. che tu hai riconosciuto e che devi assolutamente sapere e [Date], se vuoi proprio vedere [Date]. la tua voce, in modo] che tu possa conoscere il motivo [Date]. la tua presenza","hai potuto vedere e osservare l’impegno di quella moltitudine, e poco prima udirne le voci, e le cui mani e lance riesco a stento a trattenere.",1
dearest poeti,"ascoltare belle storie e sentire il profumo di bei fiori, nei tempi, quando e per quanto appropriate.",1
"Il re [Priori] si allontanò dal luogo [con il quale] ha soggiornato [Hotel Name], [Hotel Name] si allontanò [da qui] dietro al suo albergo [Hotel Name]. [Hotel Name] si allontanò [da qui] dal luogo [con il quale [Hotel Name] si allontanò [ dai luoghi] che sono] a causa del suo arrivo [Hotel Name] si allontanò [ da qui].","Il re entrò in un giardino dietro il suo alloggio, come se stesse riflettendo sulla risposta.",1
"Ma io sono convinto che il luogo del purgatorio non può andar con il corpo in quella zona del purgatorio, che non posso con il mio corpo fare con le mani. Da qui mi si allontano con il mio corpo, con la mente è sempre possibile andare, con il mio corpo non va da solo, ma deve essere con il mio corpo in quella zona del purgatorio","Ma io, desideroso di andare là dove il corpo non può arrivare, ci volo con la mente.",1
"Ed ecco quiete tutta la schiera degli uccelli che si levarono al volo verso l'aquila
Translation: Ed ecco quaete tutta la schiera degli uccelli che si levarono al volo verso l’aquila. Ed ecco quiete tutta la schiera degli uccelli che si levarono al volo verso l’aquila
Translation: Ed ecco quiete tutta la schiera degli uccelli che si levarono al volo","Ed ecco che, all’improvviso, tutta quella schiera di uccelli si alzò in volo seguendo l’aquila.",1
Vede anche le prove che gli uinianieggiano e le altre cose che dicevano. Vende pure le prove che gli uinianieggiano e di tutte le cose saare dire che il vero. Vede anche le prove che gli uinianieggiano e le altre cose che dicevano. Vede anche le prove che gli uinianieggiano e le altre cose che dicevano. Venga,Comprende anche le cause del volo degli uccelli e sa esprimere un giudizio veritiero su ogni cosa.,1
"Ora quassù !
Innalza a superba, superba, superba, superba, superba, superba, superba, superba, superba, superba, superba, superba, superba, superba, superba, superba, superba, superba, superba, superba, superba, superba, super","Ecco dunque quanto questo uccello, per la sua superbia, volava in alto.",1
"Gorgone e ho questa virtù, che io devoto a tal punto la pena di morte inumana. Gorgone e ho questo Ucello, che io devoto, come un ucello di quell'ubbro, che io devoto inumano. Gorgone e ho questo Ucello di tale pena. G. G. G. G. da Wikipedia","Gorgone, e possiedo questa capacità: volo nell’aria come un uccello.",1
"quando nella Matricna si scrivono anche le parole di Gualdrate, Gualdrate, andate, Gualdrate, andate. Gualdrate, Gualdrate, andate. Gualdrate, G.ime, translatio, G to Gualdrate, Gualdrateate, Gualdrate, Gualdrate, Gualdrate","quando si scrivono nel registro, giurano per Dio, per Cristo e per lo Spirito Santo.",1
"per averli di' il tuo animo a dovere , secondo i quali i'religi in questo mondo [ordo il tuo animo con il tuo animo santo.

, secondo i vostri desideri, state state state all' world
 [Your an the your you of course,
, [or] in
, a causa dei quali i'religi [ in questo mondo [ordo il tuo animo [to a Dio]. state state a","per necessità ripeto che, secondo il tuo comandamento, padre santo Agostino, le battaglie sono già avvenute nel mondo.",1
"m molto bene ricorderanno la nostra memoria di meno, perché in essa c'è sempre il nostro santo e glorioso nome , che nella nostra città fu sempre santo e glorioso e sane, come compagni eravamo noi.., che in Siena c'era sempre il nostro santo e veneranda.
. in in. di Siena.
ope state a mente f. da. a. in Siena., che in Siena c'era sempre il nostro santo e veneranda c.
 in. in Siena. c. in Siena. c. in Siena","saranno ricordate con molta più importanza se fatte per il re, poiché nella nostra città il nome reale è sempre stato considerato sacro e glorioso, e anche il nome dei suoi compagni è stato ritenuto santissimo.",1
"Non voglio che tu intenda di nuovo, o Signore, of course, of course, the ver a the ver a the santo desiderio and, non voglio che tu intenda di nuovo, o Signore, of course, verace, of course, the ver a the santo desiderio.

, o Signore, of course, of course, verace, verace, verace, verace, verace, verace, verace","Non voglio che tu diventi superbo per il tuo santo proposito e voto di verginità, ascoltando le lodi che ti vengono rivolte.",1
"""ra santo agn Gualdrata Gualdria dea Gualdria,

""racconce Gualdria, Gualdria, Gualdria, Gualdria, Gualdria, Gualdria, Gualdria, Gualdria, Gualdria, Gualdria, Guald","Sant’Agostino scrisse un libro che si intitolava La Città di Dio,",1
"Gregorio. Non si può essere Gregoriano solo a causa del diavolo, ma forda sempre il maestro. Gregoriano non si deve essere né gregore né maestro. G. non si può essere Gregoriato. G. Gregoriano non si può fare da solo. G. Gregoriano non si deve fare da solo, G. non si deve governare Gregoriano non si",Di Gregorio non ho mai sentito dire che avesse avuto un maestro; ma il dono dello Spirito Santo non può essere limitato da regole.,1
Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans: Trans,"Ad esempio, i mercanti fiorentini si imbarcavano per raggiungere territori oltre il mare.",1
"Quando avidi con i segni meno noti, non ho visto né impedito che nei tornei [di fuoco] ci fossero più adatti i punte [dell’impedimenti]. Quando avidi con i segni meno conosciuti , non ho visto né favorito la qualità [ delle mie deboli mani] negli scontri di palma, perché in quei tormenti ero più gradito che avessero le armi più potenti [dei colpi]. Quando avidi con i segni meno conosciuti [davanti alle armi], non ho","Quando riconoscerai quei segni in un cavaliere, non badare alla sua grandezza fisica, perché in battaglia contano più il coraggio e la forza d’animo che la corporatura.",2
"e, come da una freccia si mette a correre verso il basso, o vero fuggire da un altro, non viene più veloce, come una freccia che è più grave, odeva passare il tempo come un’altra freccia, a correre verso il basso. e, come da una freccia si mette a correre verso il basso, o vero fuggire da un altro, non viene più lenta, come una freccia","E, cosa ancora più grave, cioè essere catturato, oppure fuggire, lasciando che il proprio Comune venga sconfitto.",1
"Transitional hypothesis that, asing a the, that, asing, that, is crime is not necessarily the one of, being that, is kind, the, that, trans, is very well being, and that, asing that, that, that, asing that, that, asing that, that, asing that, that, asing that, is very the, that, asing that, asing","Siate certi che, se non avessimo fatto in fretta a fuggire, saremmo tutti morti.",1
"Tonia Credeva dire che in aiuto ci sarebbe stato un solo aiuto per le sue creature ma l’avvolte in errore ci sarebbe stata ignorando il cavallo di Dite , ma la crederesti veramente prima di lui. Credeva dire che in aiuto ci sarebbe stato un solo aiuto per le sue creature maomèrberovoci come pure in errore ci sarebbe stata ignorando il cavallo di Dite , mah non l’avvolte in errore. Cre. Cre. Cre. Cre.edevo.","Tarco, cretese che si era schierato in aiuto dei nemici, avrebbe potuto fuggire, ma si vergognò di abbandonare i nobilissimi cavalieri dell’esercito acheo che si trovavano poco più avanti di lui.",1
"e l'accon con leone in tandem [conficc a fare grande impresa [di fare grandi imprese], cioè a far pace eterna [all'Africano] a fare [Constellati a] lode, [con l'Acconto [ a]iretino da far [con lode] a fare grande impresa [a far [ in pace eterno] a fare [Moderatamente] l'Acconto [ [ a]","E l’inclinazione a realizzare grandi opere, come mantenere la pace, amare Dio e il prossimo, e costruire città, fortezze e abitazioni.",2
translation of this sin to the other translantançais to another language also in the next few sentencestranslation: translation of this sin not already known so. translation of this sin not already known so. Translation also. translation. translation of this sinot more trans. Trans can of this the other end to another translation the. translation of this sin not already known so Trans this sin not already known so. translation of this. translation,"Chi non ha ancora imparato ad amare il prossimo come sé stesso, dovrebbe almeno cominciare ad avere timore del giudizio divino.",1
", non fugge da solo, ma lo fa da solo, e, dopo che hae impelli i denti in su, non fugge nemmeno dal pastore, né lloop saviano, non fugge neppure dai canali temPorali, non fugge neanche da solo, ma lo fa da solo e, dopo che hae pr unciniato i denti, non fugge neanche dal pastore, né lloop Saviano, non fugge nemmeno","Quando l’uccello ha le ali impigliate, non può più volare via in salvo, così come il cinghiale selvatico non riesce a liberarsi facilmente dalle reti in cui è rimasto intrappolato.",1
